# Au,Cu,Pd
0.320,0.380,0.300
0.410,0.140,0.450
0.410,0.160,0.430
0.420,0.080,0.500
0.400,0.060,0.540
0.420,0.070,0.510
0.450,0.000,0.550
0.420,0.030,0.550
0.450,0.010,0.540
0.430,0.000,0.570
0.430,0.000,0.570
