# Au,Cu,Pd
0.320,0.350,0.330
0.460,0.100,0.440
0.520,0.070,0.410
0.430,0.090,0.480
0.480,0.060,0.460
0.450,0.080,0.470
0.490,0.020,0.490
0.490,0.000,0.510
0.490,0.000,0.510
