# Au_b,Cu_b,Pt_b,Au_isc,Cu_isc,Pt_isc,Au_fsc,Cu_fsc,Pt_fsc,Sd
0.400,0.600,0.000,0.390,0.610,0.000,1.000,0.000,0.000,0.176
0.400,0.550,0.050,0.390,0.560,0.050,0.896,0.000,0.103,0.186
0.400,0.500,0.100,0.390,0.504,0.105,0.802,0.000,0.198,0.214
0.400,0.450,0.150,0.390,0.459,0.150,0.746,0.000,0.254,0.235
0.400,0.400,0.200,0.390,0.406,0.204,0.661,0.000,0.339,0.264
0.400,0.350,0.250,0.390,0.361,0.249,0.591,0.000,0.409,0.307
0.400,0.300,0.300,0.390,0.313,0.297,0.551,0.000,0.449,0.343
0.400,0.250,0.350,0.390,0.265,0.344,0.529,0.000,0.471,0.414
0.400,0.200,0.400,0.390,0.217,0.393,0.483,0.000,0.517,0.451
0.400,0.150,0.450,0.390,0.163,0.447,0.445,0.001,0.555,0.528
0.400,0.100,0.500,0.390,0.108,0.502,0.425,0.001,0.574,0.602
0.400,0.050,0.550,0.390,0.058,0.552,0.407,0.000,0.593,0.737
0.400,0.000,0.600,0.390,0.000,0.610,0.381,0.000,0.619,0.970
0.350,0.650,0.000,0.337,0.663,0.000,1.000,0.000,0.000,0.150
0.350,0.600,0.050,0.337,0.613,0.050,0.879,0.000,0.121,0.150
0.350,0.550,0.100,0.337,0.558,0.105,0.790,0.000,0.210,0.167
0.350,0.500,0.150,0.337,0.513,0.150,0.687,0.000,0.313,0.185
0.350,0.450,0.200,0.337,0.459,0.204,0.648,0.000,0.352,0.234
0.350,0.400,0.250,0.337,0.414,0.249,0.576,0.000,0.424,0.270
0.350,0.350,0.300,0.337,0.366,0.297,0.519,0.000,0.481,0.309
0.350,0.300,0.350,0.337,0.319,0.345,0.486,0.000,0.514,0.328
0.350,0.250,0.400,0.337,0.270,0.393,0.440,0.001,0.559,0.391
0.350,0.200,0.450,0.337,0.216,0.447,0.419,0.001,0.580,0.449
0.350,0.150,0.500,0.337,0.161,0.502,0.391,0.001,0.608,0.538
0.350,0.100,0.550,0.337,0.111,0.552,0.373,0.000,0.627,0.628
0.350,0.050,0.600,0.337,0.053,0.610,0.348,0.000,0.652,0.772
0.350,0.000,0.650,0.337,0.000,0.663,0.328,0.000,0.672,0.979
0.300,0.700,0.000,0.288,0.712,0.000,1.000,0.000,0.000,0.126
0.300,0.650,0.050,0.288,0.662,0.050,0.865,0.000,0.135,0.143
0.300,0.600,0.100,0.288,0.607,0.105,0.779,0.000,0.221,0.145
0.300,0.550,0.150,0.288,0.562,0.150,0.693,0.000,0.307,0.174
0.300,0.500,0.200,0.288,0.508,0.204,0.614,0.000,0.386,0.198
0.300,0.450,0.250,0.288,0.463,0.249,0.570,0.000,0.430,0.237
0.300,0.400,0.300,0.288,0.415,0.297,0.471,0.000,0.529,0.248
0.300,0.350,0.350,0.288,0.368,0.345,0.424,0.000,0.576,0.295
0.300,0.300,0.400,0.288,0.319,0.393,0.394,0.000,0.606,0.355
0.300,0.250,0.450,0.288,0.265,0.447,0.387,0.001,0.612,0.409
0.300,0.200,0.500,0.288,0.210,0.502,0.359,0.002,0.638,0.476
0.300,0.150,0.550,0.288,0.160,0.552,0.337,0.001,0.662,0.541
0.300,0.100,0.600,0.288,0.102,0.610,0.312,0.001,0.687,0.657
0.300,0.050,0.650,0.288,0.049,0.663,0.297,0.001,0.701,0.770
0.300,0.000,0.700,0.288,0.000,0.712,0.283,0.000,0.717,0.987
0.250,0.750,0.000,0.233,0.767,0.000,1.000,0.000,0.000,0.112
0.250,0.700,0.050,0.233,0.717,0.050,0.888,0.000,0.112,0.109
0.250,0.650,0.100,0.233,0.662,0.105,0.772,0.000,0.228,0.125
0.250,0.600,0.150,0.233,0.617,0.150,0.661,0.000,0.339,0.149
0.250,0.550,0.200,0.232,0.564,0.204,0.540,0.000,0.460,0.181
0.250,0.500,0.250,0.233,0.518,0.249,0.505,0.000,0.495,0.205
0.250,0.450,0.300,0.233,0.471,0.297,0.449,0.000,0.551,0.222
0.250,0.400,0.350,0.233,0.423,0.344,0.415,0.000,0.585,0.260
0.250,0.350,0.400,0.233,0.374,0.393,0.355,0.000,0.645,0.311
0.250,0.300,0.450,0.233,0.320,0.447,0.354,0.002,0.645,0.353
0.250,0.250,0.500,0.232,0.266,0.502,0.322,0.003,0.675,0.410
0.250,0.200,0.550,0.233,0.216,0.552,0.307,0.001,0.692,0.465
0.250,0.150,0.600,0.233,0.158,0.609,0.273,0.002,0.725,0.546
0.250,0.100,0.650,0.233,0.104,0.663,0.260,0.003,0.737,0.652
0.250,0.050,0.700,0.233,0.055,0.712,0.250,0.002,0.748,0.764
0.250,0.000,0.750,0.233,0.000,0.767,0.230,0.000,0.770,0.995
0.200,0.800,0.000,0.189,0.811,0.000,1.000,0.000,0.000,0.083
0.200,0.750,0.050,0.189,0.760,0.050,0.859,0.000,0.141,0.084
0.200,0.700,0.100,0.189,0.705,0.105,0.710,0.000,0.290,0.108
0.200,0.650,0.150,0.189,0.660,0.150,0.622,0.000,0.378,0.119
0.200,0.600,0.200,0.189,0.607,0.204,0.493,0.000,0.507,0.132
0.200,0.550,0.250,0.189,0.562,0.249,0.450,0.000,0.551,0.169
0.200,0.500,0.300,0.189,0.514,0.297,0.394,0.000,0.606,0.196
0.200,0.450,0.350,0.189,0.466,0.345,0.378,0.000,0.622,0.236
0.200,0.400,0.400,0.189,0.418,0.393,0.333,0.000,0.667,0.268
0.200,0.350,0.450,0.189,0.363,0.447,0.302,0.004,0.694,0.306
0.200,0.300,0.500,0.189,0.309,0.502,0.282,0.006,0.712,0.361
0.200,0.250,0.550,0.189,0.259,0.552,0.246,0.003,0.750,0.405
0.200,0.200,0.600,0.189,0.201,0.610,0.235,0.004,0.761,0.486
0.200,0.150,0.650,0.189,0.148,0.663,0.221,0.006,0.773,0.560
0.200,0.100,0.700,0.189,0.099,0.712,0.216,0.005,0.779,0.649
0.200,0.050,0.750,0.189,0.043,0.767,0.198,0.005,0.797,0.805
0.200,0.000,0.800,0.189,0.000,0.811,0.187,0.000,0.813,0.997
0.150,0.850,0.000,0.144,0.856,0.000,1.000,0.000,0.000,0.055
0.150,0.800,0.050,0.144,0.806,0.051,0.819,0.000,0.181,0.076
0.150,0.750,0.100,0.144,0.751,0.105,0.681,0.000,0.319,0.080
0.150,0.700,0.150,0.144,0.706,0.150,0.554,0.000,0.446,0.099
0.150,0.650,0.200,0.144,0.652,0.204,0.479,0.000,0.521,0.103
0.150,0.600,0.250,0.144,0.607,0.249,0.398,0.000,0.602,0.123
0.150,0.550,0.300,0.144,0.559,0.297,0.347,0.000,0.653,0.170
0.150,0.500,0.350,0.144,0.512,0.345,0.327,0.000,0.673,0.206
0.150,0.450,0.400,0.144,0.463,0.393,0.295,0.000,0.705,0.242
0.150,0.400,0.450,0.144,0.409,0.447,0.255,0.003,0.742,0.275
0.150,0.350,0.500,0.144,0.354,0.502,0.223,0.007,0.769,0.308
0.150,0.300,0.550,0.144,0.304,0.552,0.219,0.002,0.779,0.370
0.150,0.250,0.600,0.144,0.246,0.610,0.171,0.005,0.824,0.431
0.150,0.200,0.650,0.144,0.193,0.663,0.174,0.008,0.818,0.486
0.150,0.150,0.700,0.144,0.144,0.712,0.160,0.008,0.832,0.579
0.150,0.100,0.750,0.144,0.089,0.767,0.148,0.009,0.842,0.688
0.150,0.050,0.800,0.144,0.045,0.811,0.147,0.005,0.848,0.814
0.150,0.000,0.850,0.144,0.000,0.856,0.143,0.000,0.857,0.999
0.100,0.900,0.000,0.098,0.902,0.000,1.000,0.000,0.000,0.024
0.100,0.850,0.050,0.098,0.852,0.050,0.776,0.000,0.224,0.042
0.100,0.800,0.100,0.098,0.797,0.105,0.640,0.000,0.360,0.052
0.100,0.750,0.150,0.098,0.752,0.150,0.384,0.000,0.616,0.060
0.100,0.700,0.200,0.098,0.698,0.204,0.388,0.000,0.612,0.078
0.100,0.650,0.250,0.098,0.653,0.249,0.269,0.003,0.727,0.096
0.100,0.600,0.300,0.098,0.606,0.297,0.236,0.000,0.764,0.132
0.100,0.550,0.350,0.098,0.558,0.344,0.202,0.000,0.798,0.164
0.100,0.500,0.400,0.098,0.509,0.393,0.195,0.002,0.803,0.202
0.100,0.450,0.450,0.098,0.455,0.447,0.174,0.010,0.816,0.235
0.100,0.400,0.500,0.098,0.400,0.502,0.165,0.008,0.827,0.284
0.100,0.350,0.550,0.098,0.350,0.552,0.146,0.006,0.848,0.319
0.100,0.300,0.600,0.098,0.293,0.610,0.128,0.006,0.866,0.366
0.100,0.250,0.650,0.098,0.239,0.663,0.129,0.012,0.859,0.424
0.100,0.200,0.700,0.098,0.190,0.712,0.106,0.011,0.883,0.491
0.100,0.150,0.750,0.098,0.135,0.767,0.106,0.016,0.878,0.603
0.100,0.100,0.800,0.098,0.091,0.811,0.103,0.017,0.881,0.704
0.100,0.050,0.850,0.098,0.046,0.856,0.096,0.016,0.888,0.833
0.100,0.000,0.900,0.098,0.000,0.902,0.098,0.000,0.902,1.000
0.050,0.950,0.000,0.045,0.955,0.000,1.000,0.000,0.000,0.006
0.050,0.900,0.050,0.045,0.905,0.050,0.727,0.000,0.273,0.011
0.050,0.850,0.100,0.045,0.849,0.105,0.541,0.000,0.459,0.019
0.050,0.800,0.150,0.045,0.805,0.150,0.369,0.000,0.630,0.028
0.050,0.750,0.200,0.045,0.751,0.204,0.282,0.000,0.718,0.046
0.050,0.700,0.250,0.045,0.706,0.249,0.172,0.000,0.828,0.077
0.050,0.650,0.300,0.045,0.658,0.297,0.121,0.003,0.875,0.113
0.050,0.600,0.350,0.045,0.611,0.344,0.138,0.000,0.862,0.149
0.050,0.550,0.400,0.045,0.562,0.393,0.097,0.007,0.896,0.179
