# Pd_b,Pt_b,Ru_b,Pd_isc,Pt_isc,Ru_isc,Pd_fsc,Pt_fsc,Ru_fsc,Sd
0.400,0.600,0.000,0.390,0.610,0.000,0.389,0.611,0.000,0.997
0.400,0.550,0.050,0.390,0.560,0.050,0.409,0.591,0.000,0.774
0.400,0.500,0.100,0.390,0.504,0.105,0.433,0.567,0.000,0.653
0.400,0.450,0.150,0.390,0.459,0.150,0.463,0.537,0.000,0.548
0.400,0.400,0.200,0.390,0.406,0.204,0.482,0.518,0.000,0.458
0.400,0.350,0.250,0.390,0.361,0.249,0.498,0.502,0.000,0.419
0.400,0.300,0.300,0.390,0.313,0.297,0.566,0.434,0.000,0.383
0.400,0.250,0.350,0.390,0.265,0.344,0.607,0.389,0.004,0.323
0.400,0.200,0.400,0.390,0.217,0.393,0.662,0.333,0.005,0.267
0.400,0.150,0.450,0.390,0.163,0.447,0.725,0.264,0.012,0.241
0.400,0.100,0.500,0.390,0.108,0.502,0.792,0.190,0.018,0.194
0.400,0.050,0.550,0.390,0.058,0.552,0.874,0.115,0.012,0.152
0.400,0.000,0.600,0.390,0.000,0.610,0.976,0.000,0.024,0.140
0.350,0.650,0.000,0.337,0.663,0.000,0.336,0.664,0.000,0.999
0.350,0.600,0.050,0.337,0.613,0.050,0.355,0.645,0.000,0.773
0.350,0.550,0.100,0.337,0.558,0.105,0.368,0.632,0.000,0.653
0.350,0.500,0.150,0.337,0.513,0.150,0.398,0.602,0.000,0.547
0.350,0.450,0.200,0.337,0.459,0.204,0.416,0.584,0.000,0.466
0.350,0.400,0.250,0.337,0.414,0.249,0.432,0.567,0.001,0.422
0.350,0.350,0.300,0.337,0.366,0.297,0.482,0.516,0.003,0.373
0.350,0.300,0.350,0.337,0.319,0.345,0.509,0.480,0.011,0.328
0.350,0.250,0.400,0.337,0.270,0.393,0.558,0.428,0.015,0.285
0.350,0.200,0.450,0.337,0.216,0.447,0.628,0.356,0.017,0.248
0.350,0.150,0.500,0.337,0.161,0.502,0.674,0.304,0.022,0.204
0.350,0.100,0.550,0.337,0.111,0.552,0.768,0.222,0.010,0.172
0.350,0.050,0.600,0.337,0.053,0.610,0.860,0.123,0.017,0.134
0.350,0.000,0.650,0.337,0.000,0.663,0.959,0.000,0.041,0.104
0.300,0.700,0.000,0.288,0.712,0.000,0.288,0.712,0.000,1.000
0.300,0.650,0.050,0.288,0.662,0.050,0.306,0.694,0.000,0.775
0.300,0.600,0.100,0.288,0.607,0.105,0.316,0.684,0.000,0.656
0.300,0.550,0.150,0.288,0.562,0.150,0.342,0.658,0.000,0.547
0.300,0.500,0.200,0.288,0.508,0.204,0.354,0.646,0.000,0.468
0.300,0.450,0.250,0.288,0.463,0.249,0.374,0.623,0.002,0.423
0.300,0.400,0.300,0.288,0.415,0.297,0.399,0.596,0.005,0.388
0.300,0.350,0.350,0.288,0.368,0.345,0.432,0.559,0.009,0.339
0.300,0.300,0.400,0.288,0.319,0.393,0.510,0.476,0.015,0.286
0.300,0.250,0.450,0.288,0.265,0.447,0.540,0.442,0.018,0.260
0.300,0.200,0.500,0.288,0.210,0.502,0.567,0.395,0.038,0.215
0.300,0.150,0.550,0.288,0.160,0.552,0.619,0.325,0.056,0.184
0.300,0.100,0.600,0.288,0.102,0.610,0.748,0.202,0.050,0.152
0.300,0.050,0.650,0.288,0.049,0.663,0.825,0.118,0.057,0.120
0.300,0.000,0.700,0.288,0.000,0.712,0.921,0.000,0.079,0.080
0.250,0.750,0.000,0.233,0.767,0.000,0.233,0.767,0.000,1.000
0.250,0.700,0.050,0.233,0.717,0.050,0.244,0.756,0.000,0.775
0.250,0.650,0.100,0.233,0.662,0.105,0.255,0.745,0.000,0.657
0.250,0.600,0.150,0.233,0.617,0.150,0.276,0.724,0.000,0.547
0.250,0.550,0.200,0.232,0.564,0.204,0.291,0.709,0.000,0.467
0.250,0.500,0.250,0.233,0.518,0.249,0.300,0.698,0.002,0.428
0.250,0.450,0.300,0.233,0.471,0.297,0.335,0.661,0.004,0.391
0.250,0.400,0.350,0.233,0.423,0.344,0.374,0.616,0.010,0.321
0.250,0.350,0.400,0.233,0.374,0.393,0.395,0.577,0.029,0.301
0.250,0.300,0.450,0.233,0.320,0.447,0.437,0.529,0.034,0.267
0.250,0.250,0.500,0.232,0.266,0.502,0.468,0.493,0.039,0.218
