# Au_b,Cu_b,Pd_b,Au_isc,Cu_isc,Pd_isc,Au_fsc,Cu_fsc,Pd_fsc,Sd
0.400,0.600,0.000,0.392,0.608,0.000,1.000,0.000,0.000,0.176
0.400,0.550,0.050,0.392,0.559,0.049,0.883,0.000,0.117,0.173
0.400,0.500,0.100,0.390,0.505,0.105,0.830,0.000,0.170,0.197
0.400,0.450,0.150,0.392,0.458,0.150,0.722,0.000,0.278,0.213
0.400,0.400,0.200,0.390,0.404,0.206,0.665,0.000,0.335,0.225
0.400,0.350,0.250,0.391,0.361,0.248,0.632,0.000,0.368,0.262
0.400,0.300,0.300,0.390,0.314,0.296,0.592,0.000,0.408,0.282
0.400,0.250,0.350,0.392,0.265,0.343,0.512,0.000,0.488,0.312
0.400,0.200,0.400,0.392,0.215,0.393,0.490,0.000,0.510,0.352
0.400,0.150,0.450,0.389,0.162,0.449,0.456,0.000,0.544,0.381
0.400,0.100,0.500,0.391,0.106,0.503,0.424,0.000,0.576,0.428
0.400,0.050,0.550,0.391,0.059,0.550,0.393,0.000,0.607,0.470
0.400,0.000,0.600,0.392,0.000,0.608,0.369,0.000,0.631,0.535
0.350,0.650,0.000,0.337,0.663,0.000,1.000,0.000,0.000,0.150
0.350,0.600,0.050,0.337,0.614,0.049,0.899,0.000,0.101,0.153
0.350,0.550,0.100,0.338,0.557,0.105,0.772,0.000,0.228,0.168
0.350,0.500,0.150,0.338,0.511,0.151,0.750,0.000,0.250,0.173
0.350,0.450,0.200,0.337,0.458,0.205,0.674,0.000,0.326,0.199
0.350,0.400,0.250,0.337,0.415,0.248,0.607,0.000,0.393,0.208
0.350,0.350,0.300,0.338,0.367,0.295,0.525,0.000,0.475,0.226
0.350,0.300,0.350,0.337,0.319,0.344,0.504,0.000,0.496,0.257
0.350,0.250,0.400,0.337,0.270,0.393,0.478,0.000,0.522,0.289
0.350,0.200,0.450,0.337,0.216,0.447,0.424,0.000,0.576,0.322
0.350,0.150,0.500,0.337,0.160,0.503,0.396,0.000,0.604,0.348
0.350,0.100,0.550,0.337,0.112,0.551,0.365,0.000,0.635,0.414
0.350,0.050,0.600,0.337,0.055,0.608,0.335,0.000,0.665,0.452
0.350,0.000,0.650,0.337,0.000,0.663,0.314,0.000,0.686,0.524
0.300,0.700,0.000,0.288,0.712,0.000,1.000,0.000,0.000,0.126
0.300,0.650,0.050,0.288,0.662,0.050,0.899,0.000,0.101,0.138
0.300,0.600,0.100,0.288,0.606,0.106,0.788,0.000,0.212,0.141
0.300,0.550,0.150,0.289,0.560,0.151,0.717,0.000,0.283,0.161
0.300,0.500,0.200,0.289,0.508,0.203,0.641,0.000,0.359,0.171
0.300,0.450,0.250,0.290,0.462,0.248,0.568,0.000,0.432,0.185
0.300,0.400,0.300,0.288,0.417,0.295,0.514,0.000,0.486,0.191
0.300,0.350,0.350,0.289,0.368,0.343,0.494,0.000,0.506,0.232
0.300,0.300,0.400,0.288,0.318,0.394,0.430,0.000,0.570,0.251
0.300,0.250,0.450,0.287,0.265,0.448,0.389,0.000,0.611,0.272
0.300,0.200,0.500,0.288,0.209,0.503,0.379,0.000,0.621,0.304
0.300,0.150,0.550,0.290,0.160,0.550,0.347,0.000,0.653,0.342
0.300,0.100,0.600,0.289,0.102,0.609,0.305,0.000,0.695,0.398
0.300,0.050,0.650,0.290,0.047,0.663,0.297,0.000,0.703,0.422
0.300,0.000,0.700,0.288,0.000,0.712,0.266,0.000,0.734,0.504
0.250,0.750,0.000,0.233,0.767,0.000,1.000,0.000,0.000,0.112
0.250,0.700,0.050,0.233,0.717,0.050,0.881,0.000,0.119,0.120
0.250,0.650,0.100,0.233,0.662,0.105,0.723,0.000,0.277,0.118
0.250,0.600,0.150,0.233,0.617,0.150,0.715,0.000,0.285,0.135
0.250,0.550,0.200,0.233,0.562,0.205,0.626,0.000,0.374,0.153
0.250,0.500,0.250,0.233,0.520,0.247,0.541,0.000,0.459,0.152
0.250,0.450,0.300,0.233,0.471,0.296,0.481,0.000,0.519,0.174
0.250,0.400,0.350,0.233,0.424,0.343,0.462,0.000,0.538,0.191
0.250,0.350,0.400,0.233,0.374,0.393,0.424,0.000,0.576,0.200
0.250,0.300,0.450,0.233,0.320,0.447,0.372,0.000,0.628,0.221
0.250,0.250,0.500,0.232,0.265,0.503,0.336,0.000,0.664,0.237
0.250,0.200,0.550,0.233,0.215,0.552,0.313,0.000,0.687,0.279
0.250,0.150,0.600,0.233,0.159,0.608,0.290,0.000,0.710,0.280
0.250,0.100,0.650,0.233,0.105,0.662,0.271,0.000,0.729,0.325
0.250,0.050,0.700,0.233,0.056,0.711,0.259,0.000,0.741,0.386
0.250,0.000,0.750,0.233,0.000,0.767,0.226,0.000,0.774,0.464
0.200,0.800,0.000,0.189,0.811,0.000,1.000,0.000,0.000,0.083
0.200,0.750,0.050,0.189,0.759,0.052,0.872,0.000,0.128,0.083
0.200,0.700,0.100,0.188,0.706,0.106,0.742,0.000,0.258,0.104
0.200,0.650,0.150,0.189,0.660,0.151,0.655,0.000,0.345,0.102
0.200,0.600,0.200,0.188,0.607,0.205,0.587,0.000,0.413,0.115
0.200,0.550,0.250,0.187,0.565,0.248,0.492,0.000,0.508,0.130
0.200,0.500,0.300,0.189,0.514,0.297,0.432,0.000,0.568,0.150
0.200,0.450,0.350,0.188,0.467,0.345,0.408,0.000,0.592,0.153
0.200,0.400,0.400,0.188,0.418,0.394,0.370,0.000,0.630,0.165
0.200,0.350,0.450,0.188,0.364,0.448,0.304,0.000,0.696,0.172
0.200,0.300,0.500,0.187,0.310,0.503,0.316,0.000,0.684,0.219
0.200,0.250,0.550,0.188,0.258,0.554,0.276,0.000,0.724,0.216
0.200,0.200,0.600,0.188,0.201,0.611,0.264,0.000,0.736,0.244
0.200,0.150,0.650,0.188,0.150,0.662,0.235,0.000,0.765,0.263
0.200,0.100,0.700,0.189,0.099,0.712,0.225,0.000,0.775,0.294
0.200,0.050,0.750,0.189,0.044,0.767,0.198,0.000,0.802,0.366
0.200,0.000,0.800,0.189,0.000,0.811,0.192,0.000,0.808,0.420
0.150,0.850,0.000,0.146,0.854,0.000,1.000,0.000,0.000,0.055
0.150,0.800,0.050,0.146,0.805,0.049,0.799,0.000,0.201,0.064
0.150,0.750,0.100,0.145,0.750,0.105,0.730,0.000,0.270,0.071
0.150,0.700,0.150,0.144,0.707,0.149,0.594,0.000,0.406,0.080
0.150,0.650,0.200,0.143,0.651,0.206,0.544,0.000,0.456,0.076
0.150,0.600,0.250,0.147,0.605,0.248,0.462,0.000,0.538,0.090
0.150,0.550,0.300,0.147,0.558,0.295,0.437,0.000,0.563,0.100
0.150,0.500,0.350,0.146,0.511,0.343,0.379,0.000,0.621,0.121
0.150,0.450,0.400,0.143,0.464,0.393,0.323,0.000,0.677,0.124
0.150,0.400,0.450,0.143,0.408,0.449,0.285,0.000,0.715,0.146
0.150,0.350,0.500,0.145,0.352,0.503,0.294,0.000,0.706,0.168
0.150,0.300,0.550,0.145,0.304,0.551,0.224,0.000,0.776,0.194
0.150,0.250,0.600,0.146,0.246,0.608,0.217,0.000,0.783,0.203
0.150,0.200,0.650,0.145,0.193,0.662,0.196,0.000,0.804,0.223
0.150,0.150,0.700,0.146,0.142,0.712,0.191,0.000,0.809,0.252
0.150,0.100,0.750,0.146,0.087,0.767,0.160,0.000,0.840,0.271
0.150,0.050,0.800,0.143,0.046,0.811,0.147,0.000,0.853,0.306
0.150,0.000,0.850,0.146,0.000,0.854,0.138,0.000,0.862,0.361
0.100,0.900,0.000,0.098,0.902,0.000,1.000,0.000,0.000,0.024
0.100,0.850,0.050,0.098,0.852,0.050,0.839,0.000,0.161,0.038
0.100,0.800,0.100,0.099,0.796,0.105,0.785,0.000,0.215,0.035
0.100,0.750,0.150,0.098,0.752,0.150,0.571,0.000,0.429,0.042
0.100,0.700,0.200,0.098,0.698,0.204,0.622,0.000,0.378,0.049
0.100,0.650,0.250,0.099,0.654,0.247,0.409,0.000,0.591,0.053
0.100,0.600,0.300,0.099,0.606,0.295,0.346,0.000,0.654,0.071
0.100,0.550,0.350,0.099,0.558,0.343,0.336,0.000,0.664,0.085
0.100,0.500,0.400,0.098,0.508,0.394,0.292,0.000,0.708,0.081
0.100,0.450,0.450,0.100,0.451,0.449,0.241,0.000,0.759,0.107
0.100,0.400,0.500,0.098,0.399,0.503,0.246,0.000,0.754,0.116
0.100,0.350,0.550,0.099,0.350,0.551,0.165,0.000,0.835,0.123
0.100,0.300,0.600,0.099,0.292,0.609,0.147,0.000,0.853,0.148
0.100,0.250,0.650,0.099,0.239,0.662,0.129,0.000,0.871,0.139
0.100,0.200,0.700,0.100,0.189,0.711,0.126,0.000,0.874,0.168
0.100,0.150,0.750,0.098,0.135,0.767,0.123,0.000,0.877,0.187
0.100,0.100,0.800,0.099,0.090,0.811,0.121,0.000,0.879,0.199
0.100,0.050,0.850,0.099,0.047,0.854,0.110,0.000,0.890,0.263
0.100,0.000,0.900,0.098,0.000,0.902,0.094,0.000,0.906,0.294
0.050,0.950,0.000,0.044,0.956,0.000,0.800,0.000,0.000,0.006
0.050,0.900,0.050,0.044,0.907,0.049,0.634,0.000,0.166,0.009
0.050,0.850,0.100,0.044,0.851,0.105,0.616,0.000,0.384,0.015
0.050,0.800,0.150,0.044,0.804,0.152,0.524,0.000,0.476,0.020
0.050,0.750,0.200,0.044,0.751,0.205,0.453,0.000,0.547,0.020
0.050,0.700,0.250,0.045,0.707,0.248,0.279,0.000,0.721,0.020
0.050,0.650,0.300,0.046,0.658,0.296,0.314,0.000,0.686,0.020
0.050,0.600,0.350,0.044,0.612,0.344,0.253,0.000,0.747,0.028
0.050,0.550,0.400,0.044,0.562,0.394,0.268,0.000,0.732,0.028
0.050,0.500,0.450,0.045,0.506,0.449,0.188,0.000,0.812,0.031
0.050,0.450,0.500,0.045,0.452,0.503,0.164,0.000,0.836,0.049
0.050,0.400,0.550,0.044,0.404,0.552,0.142,0.000,0.858,0.045
0.050,0.350,0.600,0.044,0.348,0.608,0.094,0.000,0.906,0.054
0.050,0.300,0.650,0.045,0.292,0.663,0.089,0.000,0.911,0.065
0.050,0.250,0.700,0.045,0.244,0.711,0.051,0.000,0.949,0.074
0.050,0.200,0.750,0.046,0.187,0.767,0.072,0.000,0.928,0.089
0.050,0.150,0.800,0.045,0.143,0.812,0.048,0.000,0.952,0.096
0.050,0.100,0.850,0.044,0.100,0.856,0.064,0.000,0.936,0.134
0.050,0.050,0.900,0.045,0.054,0.901,0.052,0.000,0.948,0.164
0.050,0.000,0.950,0.044,0.000,0.956,0.052,0.000,0.948,0.188
0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
0.000,0.950,0.050,0.000,0.951,0.049,0.000,0.000,0.000,0.000
0.000,0.900,0.100,0.000,0.895,0.105,0.000,0.000,0.000,0.000
0.000,0.850,0.150,0.000,0.850,0.150,0.000,0.000,0.000,0.000
0.000,0.800,0.200,0.000,0.794,0.206,0.000,0.000,0.000,0.000
0.000,0.750,0.250,0.000,0.752,0.248,0.000,0.000,0.000,0.000
0.000,0.700,0.300,0.000,0.705,0.295,0.000,0.000,0.000,0.000
0.000,0.650,0.350,0.000,0.657,0.343,0.000,0.000,0.000,0.000
0.000,0.600,0.400,0.000,0.606,0.394,0.000,0.000,0.000,0.000
0.000,0.550,0.450,0.000,0.551,0.449,0.000,0.000,0.000,0.000
0.000,0.500,0.500,0.000,0.497,0.503,0.000,0.000,0.000,0.000
0.000,0.450,0.550,0.000,0.450,0.550,0.000,0.000,0.000,0.000
0.000,0.400,0.600,0.000,0.392,0.608,0.000,0.000,0.000,0.000
0.000,0.350,0.650,0.000,0.337,0.663,0.000,0.000,0.000,0.000
0.000,0.300,0.700,0.000,0.288,0.712,0.000,0.000,0.000,0.000
0.000,0.250,0.750,0.000,0.233,0.767,0.000,0.000,0.000,0.000
0.000,0.200,0.800,0.000,0.189,0.811,0.000,0.000,0.000,0.000
0.000,0.150,0.850,0.000,0.146,0.854,0.000,0.000,0.000,0.000
0.000,0.100,0.900,0.000,0.098,0.902,0.000,0.000,0.000,0.000
0.000,0.050,0.950,0.000,0.044,0.956,0.000,0.000,0.000,0.000
0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
