# Au_b,Cu_b,Pd_b,Au_isc,Cu_isc,Pd_isc,Au_fsc,Cu_fsc,Pd_fsc,Sd
0.200,0.150,0.650,0.189,0.148,0.663,0.235,0.000,0.765,0.263
0.200,0.100,0.700,0.189,0.099,0.712,0.225,0.000,0.775,0.294
0.200,0.050,0.750,0.189,0.043,0.767,0.198,0.000,0.802,0.366
0.200,0.000,0.800,0.189,0.000,0.811,0.190,0.000,0.810,0.420
0.150,0.850,0.000,0.144,0.856,0.000,1.000,0.000,0.000,0.055
0.150,0.800,0.050,0.144,0.806,0.051,0.799,0.000,0.201,0.064
0.150,0.750,0.100,0.144,0.751,0.105,0.730,0.000,0.270,0.071
0.150,0.700,0.150,0.144,0.706,0.150,0.593,0.000,0.407,0.080
0.150,0.650,0.200,0.144,0.652,0.204,0.543,0.000,0.457,0.076
0.150,0.600,0.250,0.144,0.607,0.249,0.464,0.000,0.536,0.090
0.150,0.550,0.300,0.144,0.559,0.297,0.438,0.000,0.562,0.100
0.150,0.500,0.350,0.144,0.512,0.345,0.381,0.000,0.619,0.121
0.150,0.450,0.400,0.144,0.463,0.393,0.323,0.000,0.677,0.124
0.150,0.400,0.450,0.144,0.409,0.447,0.284,0.000,0.716,0.146
0.150,0.350,0.500,0.144,0.354,0.502,0.294,0.000,0.706,0.168
0.150,0.300,0.550,0.144,0.304,0.552,0.225,0.000,0.775,0.194
0.150,0.250,0.600,0.144,0.246,0.610,0.216,0.000,0.784,0.203
0.150,0.200,0.650,0.144,0.193,0.663,0.197,0.000,0.803,0.223
0.150,0.150,0.700,0.144,0.144,0.712,0.191,0.000,0.809,0.252
0.150,0.100,0.750,0.144,0.089,0.767,0.160,0.000,0.840,0.271
0.150,0.050,0.800,0.144,0.045,0.811,0.146,0.000,0.854,0.306
0.150,0.000,0.850,0.144,0.000,0.856,0.138,0.000,0.862,0.361
0.100,0.900,0.000,0.098,0.902,0.000,1.000,0.000,0.000,0.024
0.100,0.850,0.050,0.098,0.852,0.050,0.839,0.000,0.161,0.038
0.100,0.800,0.100,0.098,0.797,0.105,0.784,0.000,0.216,0.035
0.100,0.750,0.150,0.098,0.752,0.150,0.571,0.000,0.429,0.042
0.100,0.700,0.200,0.098,0.698,0.204,0.621,0.000,0.379,0.049
0.100,0.650,0.250,0.098,0.653,0.249,0.409,0.000,0.591,0.053
0.100,0.600,0.300,0.098,0.606,0.297,0.346,0.000,0.654,0.071
0.100,0.550,0.350,0.098,0.558,0.344,0.335,0.000,0.665,0.085
0.100,0.500,0.400,0.098,0.509,0.393,0.292,0.000,0.708,0.081
0.100,0.450,0.450,0.098,0.455,0.447,0.242,0.000,0.758,0.107
0.100,0.400,0.500,0.098,0.400,0.502,0.246,0.000,0.754,0.116
0.100,0.350,0.550,0.098,0.350,0.552,0.166,0.000,0.834,0.123
0.100,0.300,0.600,0.098,0.293,0.610,0.146,0.000,0.854,0.148
0.100,0.250,0.650,0.098,0.239,0.663,0.128,0.000,0.872,0.139
0.100,0.200,0.700,0.098,0.190,0.712,0.125,0.000,0.875,0.168
0.100,0.150,0.750,0.098,0.135,0.767,0.123,0.000,0.877,0.187
0.100,0.100,0.800,0.098,0.091,0.811,0.120,0.000,0.880,0.199
0.100,0.050,0.850,0.098,0.046,0.856,0.110,0.000,0.890,0.263
0.100,0.000,0.900,0.098,0.000,0.902,0.094,0.000,0.906,0.294
0.050,0.950,0.000,0.045,0.955,0.000,1.000,0.000,0.000,0.006
0.050,0.900,0.050,0.045,0.905,0.050,0.792,0.000,0.208,0.009
0.050,0.850,0.100,0.045,0.849,0.105,0.617,0.000,0.383,0.015
0.050,0.800,0.150,0.045,0.805,0.150,0.525,0.000,0.475,0.020
0.050,0.750,0.200,0.045,0.751,0.204,0.453,0.000,0.547,0.020
0.050,0.700,0.250,0.045,0.706,0.249,0.279,0.000,0.721,0.020
0.050,0.650,0.300,0.045,0.658,0.297,0.313,0.000,0.687,0.020
0.050,0.600,0.350,0.045,0.611,0.344,0.252,0.000,0.748,0.028
0.050,0.550,0.400,0.045,0.562,0.393,0.267,0.000,0.733,0.028
0.050,0.500,0.450,0.045,0.508,0.447,0.190,0.000,0.810,0.031
0.050,0.450,0.500,0.045,0.453,0.502,0.166,0.000,0.835,0.049
0.050,0.400,0.550,0.045,0.403,0.552,0.143,0.000,0.857,0.045
0.050,0.350,0.600,0.045,0.346,0.609,0.095,0.000,0.905,0.054
0.050,0.300,0.650,0.045,0.292,0.663,0.089,0.000,0.911,0.065
0.050,0.250,0.700,0.045,0.243,0.712,0.051,0.000,0.949,0.074
0.050,0.200,0.750,0.045,0.188,0.767,0.072,0.000,0.928,0.089
0.050,0.150,0.800,0.045,0.144,0.811,0.048,0.000,0.952,0.096
0.050,0.100,0.850,0.045,0.099,0.856,0.065,0.000,0.935,0.134
0.050,0.050,0.900,0.045,0.053,0.902,0.051,0.000,0.949,0.164
0.050,0.000,0.950,0.045,0.000,0.955,0.052,0.000,0.948,0.188
0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
0.000,0.950,0.050,0.000,0.950,0.050,0.000,0.000,0.000,0.000
0.000,0.900,0.100,0.000,0.895,0.105,0.000,0.000,0.000,0.000
0.000,0.850,0.150,0.000,0.849,0.150,0.000,0.000,0.000,0.000
0.000,0.800,0.200,0.000,0.796,0.204,0.000,0.000,0.000,0.000
0.000,0.750,0.250,0.000,0.751,0.249,0.000,0.000,0.000,0.000
0.000,0.700,0.300,0.000,0.703,0.297,0.000,0.000,0.000,0.000
0.000,0.650,0.350,0.000,0.656,0.344,0.000,0.000,0.000,0.000
0.000,0.600,0.400,0.000,0.607,0.393,0.000,0.000,0.000,0.000
0.000,0.550,0.450,0.000,0.553,0.447,0.000,0.000,0.000,0.000
0.000,0.500,0.500,0.000,0.498,0.502,0.000,0.000,0.000,0.000
0.000,0.450,0.550,0.000,0.448,0.552,0.000,0.000,0.000,0.000
0.000,0.400,0.600,0.000,0.390,0.610,0.000,0.000,0.000,0.000
0.000,0.350,0.650,0.000,0.337,0.663,0.000,0.000,0.000,0.000
0.000,0.300,0.700,0.000,0.288,0.712,0.000,0.000,0.000,0.000
0.000,0.250,0.750,0.000,0.233,0.767,0.000,0.000,0.000,0.000
0.000,0.200,0.800,0.000,0.189,0.811,0.000,0.000,0.000,0.000
0.000,0.150,0.850,0.000,0.144,0.856,0.000,0.000,0.000,0.000
0.000,0.100,0.900,0.000,0.098,0.902,0.000,0.000,0.000,0.000
0.000,0.050,0.950,0.000,0.045,0.955,0.000,0.000,0.000,0.000
0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
