# Pd_b,Pt_b,Ru_b,Pd_isc,Pt_isc,Ru_isc,Pd_fsc,Pt_fsc,Ru_fsc,Sd
0.450 0.450 0.100 0.450 0.480 0.070 0.450 0.550 0.000 0.733
0.450 0.400 0.150 0.430 0.410 0.160 0.470 0.530 0.000 0.446
0.450 0.350 0.200 0.470 0.370 0.160 0.550 0.450 0.000 0.510
0.450 0.300 0.250 0.470 0.320 0.210 0.610 0.390 0.000 0.490
0.450 0.250 0.300 0.470 0.200 0.330 0.720 0.280 0.000 0.392
0.450 0.200 0.350 0.350 0.250 0.400 0.580 0.400 0.020 0.243
0.450 0.150 0.400 0.400 0.190 0.410 0.710 0.290 0.000 0.294
0.450 0.100 0.450 0.430 0.090 0.480 0.810 0.170 0.020 0.236
0.450 0.050 0.500 0.440 0.060 0.500 0.880 0.120 0.000 0.172
0.450 0.000 0.550 0.440 0.000 0.560 0.980 0.000 0.020 0.149
0.400 0.600 0.000 0.410 0.590 0.000 0.410 0.590 0.000 1.000
0.400 0.550 0.050 0.460 0.500 0.040 0.470 0.530 0.000 0.811
0.400 0.500 0.100 0.400 0.500 0.100 0.420 0.580 0.000 0.622
0.400 0.450 0.150 0.360 0.470 0.170 0.420 0.580 0.000 0.510
0.400 0.400 0.200 0.390 0.420 0.190 0.490 0.510 0.000 0.459
0.400 0.350 0.250 0.390 0.380 0.230 0.560 0.440 0.000 0.473
0.400 0.300 0.300 0.380 0.300 0.320 0.540 0.460 0.000 0.264
0.400 0.250 0.350 0.400 0.250 0.350 0.620 0.370 0.010 0.341
0.400 0.200 0.400 0.400 0.200 0.400 0.670 0.300 0.030 0.260
0.400 0.150 0.450 0.380 0.160 0.460 0.610 0.390 0.000 0.233
0.400 0.100 0.500 0.390 0.090 0.520 0.790 0.210 0.000 0.240
0.400 0.050 0.550 0.400 0.040 0.560 0.880 0.070 0.050 0.203
0.400 0.000 0.600 0.360 0.000 0.640 1.000 0.000 0.000 0.155
0.350 0.650 0.000 0.360 0.640 0.000 0.360 0.640 0.000 0.993
0.350 0.600 0.050 0.350 0.600 0.050 0.360 0.640 0.000 0.750
0.350 0.550 0.100 0.390 0.520 0.090 0.420 0.580 0.000 0.686
0.350 0.500 0.150 0.370 0.540 0.090 0.450 0.550 0.000 0.618
0.350 0.450 0.200 0.360 0.430 0.210 0.460 0.540 0.000 0.490
0.350 0.400 0.250 0.360 0.390 0.250 0.420 0.580 0.000 0.382
0.350 0.350 0.300 0.340 0.370 0.290 0.460 0.540 0.000 0.429
0.350 0.300 0.350 0.340 0.300 0.360 0.610 0.390 0.000 0.257
0.350 0.250 0.400 0.390 0.240 0.370 0.580 0.410 0.010 0.341
