# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d
0.1328,0.1016,0.1328,0.0781,0.1511,0.1224,0.1406,0.1406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1832,0.1298,0.0458,0.0916,0.1756,0.2061,0.1221,0.0458,0.0044,0.0000,0.3717,0.0310,0.0000,0.0044,0.1947,0.3938
0.1615,0.1923,0.0846,0.1231,0.1462,0.1615,0.0923,0.0385,0.0386,0.0000,0.2819,0.1098,0.0475,0.0119,0.2255,0.2848
0.1743,0.1927,0.0550,0.1376,0.1468,0.1651,0.0826,0.0459,0.0784,0.0000,0.2518,0.1069,0.0736,0.0237,0.2233,0.2423
0.2273,0.1545,0.0273,0.1545,0.1000,0.2364,0.0636,0.0364,0.0913,0.0000,0.2407,0.1079,0.0871,0.0394,0.2033,0.2303
0.1795,0.1880,0.0513,0.1368,0.1282,0.2222,0.0598,0.0342,0.1019,0.0000,0.2302,0.1057,0.0924,0.0472,0.1981,0.2245
0.2105,0.1684,0.0316,0.1263,0.1369,0.2421,0.0526,0.0316,0.1042,0.0000,0.2279,0.1025,0.0972,0.0601,0.1890,0.2191
0.1957,0.1630,0.0544,0.1413,0.1413,0.2174,0.0543,0.0326,0.1003,0.0000,0.2262,0.1055,0.1054,0.0612,0.1854,0.2160
0.1786,0.1905,0.0238,0.1786,0.1666,0.1786,0.0714,0.0119,0.1028,0.0000,0.2288,0.1061,0.1045,0.0614,0.1808,0.2156
0.2048,0.2048,0.0241,0.1687,0.1566,0.1687,0.0602,0.0121,0.1046,0.0000,0.2288,0.1046,0.1062,0.0621,0.1797,0.2140
0.2024,0.2381,0.0000,0.1786,0.1667,0.1547,0.0595,0.0000,0.1079,0.0000,0.2287,0.1030,0.1063,0.0628,0.1787,0.2126
0.1954,0.2414,0.0000,0.1839,0.1609,0.1609,0.0575,0.0000,0.1074,0.0000,0.2275,0.1042,0.1074,0.0625,0.1795,0.2115
0.1954,0.2414,0.0000,0.1839,0.1609,0.1724,0.0460,0.0000,0.1072,0.0000,0.2272,0.1040,0.1072,0.0624,0.1808,0.2112
0.1910,0.2360,0.0000,0.1798,0.1573,0.1685,0.0449,0.0225,0.1086,0.0000,0.2269,0.1038,0.1070,0.0623,0.1805,0.2109
0.1954,0.2414,0.0000,0.1954,0.1609,0.1609,0.0460,0.0000,0.1083,0.0000,0.2261,0.1035,0.1067,0.0621,0.1799,0.2134
