# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d
0.1224,0.1302,0.1406,0.1146,0.1068,0.0990,0.1484,0.1380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1194,0.1493,0.0746,0.1642,0.1791,0.1045,0.1716,0.0373,0.0000,0.0000,0.3515,0.0544,0.0084,0.0000,0.2217,0.3640
0.0876,0.1970,0.1095,0.1314,0.1679,0.1387,0.1022,0.0657,0.0592,0.0000,0.2676,0.1014,0.0338,0.0141,0.2563,0.2676
0.1034,0.1638,0.0690,0.1552,0.1896,0.1724,0.0776,0.0690,0.0733,0.0000,0.2489,0.1178,0.0489,0.0267,0.2489,0.2355
0.0990,0.1782,0.0594,0.1881,0.1981,0.1683,0.0891,0.0198,0.0867,0.0000,0.2332,0.1310,0.0597,0.0347,0.2331,0.2216
0.1429,0.1619,0.0381,0.1333,0.2190,0.1524,0.1048,0.0476,0.0972,0.0000,0.2244,0.1307,0.0654,0.0459,0.2279,0.2085
0.1683,0.1683,0.0198,0.1386,0.2179,0.1782,0.0891,0.0198,0.0977,0.0000,0.2169,0.1358,0.0761,0.0497,0.2185,0.2053
0.1491,0.1930,0.0351,0.1755,0.1754,0.1754,0.0965,0.0000,0.0981,0.0000,0.2104,0.1377,0.0823,0.0570,0.2136,0.2009
0.1858,0.2035,0.0089,0.1682,0.1681,0.1947,0.0708,0.0000,0.0998,0.0000,0.2104,0.1367,0.0845,0.0584,0.2120,0.1982
0.1583,0.1750,0.0166,0.1417,0.1917,0.2250,0.0750,0.0167,0.0991,0.0000,0.2072,0.1366,0.0901,0.0586,0.2132,0.1952
0.1696,0.1786,0.0089,0.1429,0.1875,0.2321,0.0625,0.0179,0.0987,0.0000,0.2062,0.1384,0.0913,0.0589,0.2121,0.1944
0.1852,0.1759,0.0185,0.1389,0.1759,0.2315,0.0648,0.0093,0.0972,0.0000,0.2047,0.1393,0.0914,0.0610,0.2119,0.1945
0.1905,0.1810,0.0095,0.1333,0.1714,0.2476,0.0667,0.0000,0.0991,0.0000,0.2055,0.1408,0.0905,0.0603,0.2098,0.1940
0.1963,0.1682,0.0000,0.1308,0.1869,0.2430,0.0748,0.0000,0.1001,0.0000,0.2060,0.1402,0.0916,0.0601,0.2089,0.1931
0.1981,0.1698,0.0000,0.1321,0.1887,0.2358,0.0755,0.0000,0.1000,0.0000,0.2071,0.1400,0.0914,0.0600,0.2086,0.1929
