# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d
0.1198,0.1276,0.1562,0.1146,0.1250,0.0990,0.1198,0.1380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1582,0.1076,0.0570,0.1519,0.2025,0.1456,0.1266,0.0506,0.0043,0.0000,0.3846,0.0384,0.0043,0.0000,0.2094,0.3590
0.1773,0.1560,0.0568,0.1773,0.1560,0.1348,0.0709,0.0709,0.0559,0.0000,0.2849,0.1257,0.0391,0.0112,0.2262,0.2570
0.2000,0.1482,0.0370,0.1333,0.1778,0.1704,0.1037,0.0296,0.0756,0.0000,0.2511,0.1533,0.0533,0.0267,0.2067,0.2333
0.2377,0.1312,0.0246,0.1639,0.1803,0.1557,0.0574,0.0492,0.0879,0.0000,0.2344,0.1543,0.0703,0.0332,0.2051,0.2148
0.2302,0.1429,0.0079,0.1667,0.2063,0.1508,0.0555,0.0397,0.0853,0.0000,0.2305,0.1488,0.0799,0.0381,0.2051,0.2123
0.2185,0.1596,0.0000,0.1681,0.2185,0.1849,0.0504,0.0000,0.0841,0.0000,0.2277,0.1506,0.0788,0.0403,0.2049,0.2136
0.2241,0.1379,0.0259,0.1724,0.2328,0.1638,0.0431,0.0000,0.0862,0.0000,0.2241,0.1535,0.0793,0.0414,0.2052,0.2103
0.2232,0.1518,0.0000,0.1786,0.2500,0.1696,0.0268,0.0000,0.0855,0.0000,0.2274,0.1521,0.0786,0.0427,0.2051,0.2086
0.2342,0.1351,0.0000,0.1802,0.2433,0.1712,0.0270,0.0090,0.0866,0.0000,0.2258,0.1511,0.0798,0.0442,0.2054,0.2071
0.2315,0.1296,0.0000,0.1852,0.2500,0.1759,0.0278,0.0000,0.0895,0.0000,0.2247,0.1503,0.0794,0.0439,0.2044,0.2078
