# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d
0.1484,0.1198,0.1198,0.1198,0.1250,0.1432,0.1120,0.1120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1701,0.1701,0.0272,0.1769,0.1769,0.1632,0.0816,0.0340,0.0135,0.0000,0.3514,0.0405,0.0000,0.0000,0.2432,0.3514
0.1597,0.1681,0.0420,0.2017,0.2017,0.1344,0.0588,0.0336,0.0606,0.0000,0.2667,0.1333,0.0333,0.0152,0.2364,0.2545
0.1339,0.1786,0.0178,0.1786,0.2589,0.1250,0.0536,0.0536,0.0888,0.0000,0.2437,0.1294,0.0508,0.0254,0.2335,0.2284
0.1743,0.1651,0.0275,0.1835,0.2477,0.1285,0.0367,0.0367,0.0998,0.0000,0.2267,0.1338,0.0612,0.0295,0.2268,0.2222
0.1905,0.1714,0.0381,0.2095,0.1905,0.1429,0.0190,0.0381,0.1060,0.0000,0.2162,0.1351,0.0790,0.0312,0.2204,0.2121
0.1554,0.2039,0.0388,0.1942,0.2136,0.1553,0.0291,0.0097,0.1129,0.0000,0.2178,0.1307,0.0832,0.0356,0.2099,0.2099
0.1848,0.2174,0.0109,0.1956,0.2174,0.1413,0.0217,0.0109,0.1160,0.0000,0.2243,0.1331,0.0837,0.0342,0.2053,0.2034
0.1704,0.2159,0.0000,0.1932,0.2614,0.1364,0.0227,0.0000,0.1138,0.0000,0.2220,0.1362,0.0840,0.0354,0.2071,0.2015
0.1630,0.2283,0.0000,0.2065,0.2500,0.1304,0.0109,0.0109,0.1125,0.0000,0.2196,0.1384,0.0867,0.0369,0.2066,0.1993
0.1704,0.2045,0.0000,0.2159,0.2614,0.1364,0.0114,0.0000,0.1121,0.0000,0.2187,0.1397,0.0864,0.0368,0.2059,0.2004
