# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d
0.1172,0.1224,0.1406,0.1250,0.1302,0.1406,0.1094,0.1146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1523,0.1523,0.0397,0.2119,0.1457,0.1788,0.0994,0.0199,0.0000,0.0000,0.3982,0.0181,0.0045,0.0000,0.2082,0.3710
0.1268,0.1972,0.0211,0.1760,0.1479,0.1831,0.0704,0.0775,0.0188,0.0000,0.3135,0.1379,0.0376,0.0126,0.2069,0.2727
0.1705,0.1550,0.0310,0.1861,0.1705,0.1861,0.0620,0.0388,0.0407,0.0000,0.2723,0.1527,0.0484,0.0254,0.2010,0.2595
0.2241,0.1207,0.0173,0.1810,0.1638,0.2155,0.0517,0.0259,0.0475,0.0000,0.2556,0.1516,0.0611,0.0339,0.2014,0.2489
0.1667,0.1759,0.0093,0.1944,0.1667,0.2407,0.0278,0.0185,0.0529,0.0000,0.2452,0.1501,0.0677,0.0423,0.1987,0.2431
0.1619,0.1810,0.0190,0.1810,0.1714,0.2381,0.0381,0.0095,0.0631,0.0000,0.2383,0.1467,0.0733,0.0428,0.1955,0.2403
0.1698,0.1698,0.0189,0.1698,0.1604,0.2641,0.0189,0.0283,0.0613,0.0000,0.2371,0.1502,0.0771,0.0454,0.1937,0.2352
0.2019,0.1827,0.0288,0.1539,0.1539,0.2500,0.0192,0.0096,0.0635,0.0000,0.2346,0.1558,0.0750,0.0461,0.1904,0.2346
0.1895,0.1789,0.0000,0.1684,0.1579,0.2737,0.0211,0.0105,0.0625,0.0000,0.2367,0.1553,0.0758,0.0473,0.1894,0.2330
0.1837,0.1939,0.0102,0.1633,0.1530,0.2755,0.0204,0.0000,0.0638,0.0000,0.2345,0.1539,0.0769,0.0507,0.1876,0.2326
0.1856,0.1753,0.0103,0.1649,0.1546,0.2784,0.0309,0.0000,0.0653,0.0000,0.2351,0.1530,0.0765,0.0504,0.1884,0.2313
0.1856,0.1753,0.0103,0.1649,0.1649,0.2784,0.0206,0.0000,0.0650,0.0000,0.2361,0.1524,0.0762,0.0502,0.1896,0.2305
0.1837,0.1735,0.0102,0.1632,0.1633,0.2755,0.0306,0.0000,0.0648,0.0000,0.2370,0.1519,0.0778,0.0500,0.1889,0.2296
0.1856,0.1856,0.0000,0.1546,0.1753,0.2783,0.0206,0.0000,0.0644,0.0000,0.2376,0.1510,0.0792,0.0497,0.1897,0.2284
