# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d
0.1276,0.1172,0.1172,0.1068,0.1302,0.1250,0.1302,0.1458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1898,0.1752,0.0219,0.1387,0.1970,0.1679,0.0657,0.0438,0.0089,0.0000,0.3289,0.0444,0.0000,0.0000,0.2533,0.3645
0.1567,0.1866,0.0448,0.1492,0.1716,0.1791,0.0672,0.0448,0.0486,0.0000,0.2432,0.1094,0.0334,0.0304,0.2553,0.2797
0.1739,0.1739,0.0362,0.1739,0.1667,0.1522,0.0870,0.0362,0.0655,0.0000,0.2217,0.1184,0.0529,0.0428,0.2418,0.2569
0.2000,0.2080,0.0160,0.1440,0.1840,0.1600,0.0560,0.0320,0.0798,0.0000,0.2062,0.1264,0.0687,0.0554,0.2262,0.2373
0.1774,0.1935,0.0323,0.1693,0.1452,0.1855,0.0645,0.0323,0.0933,0.0000,0.1947,0.1237,0.0832,0.0568,0.2211,0.2272
0.1552,0.1810,0.0172,0.1897,0.1897,0.1638,0.0603,0.0431,0.0923,0.0000,0.1923,0.1308,0.0846,0.0577,0.2154,0.2269
0.1786,0.1964,0.0179,0.1875,0.2054,0.1696,0.0446,0.0000,0.0914,0.0000,0.1903,0.1268,0.0877,0.0616,0.2127,0.2295
0.1765,0.1933,0.0084,0.2017,0.2017,0.1680,0.0336,0.0168,0.0937,0.0000,0.1912,0.1250,0.0919,0.0607,0.2114,0.2261
0.1880,0.1966,0.0000,0.1966,0.2051,0.1710,0.0427,0.0000,0.0944,0.0000,0.1906,0.1234,0.0925,0.0617,0.2105,0.2269
0.1638,0.1983,0.0086,0.1983,0.1983,0.1724,0.0603,0.0000,0.0934,0.0000,0.1903,0.1257,0.0969,0.0610,0.2083,0.2244
0.1638,0.1983,0.0086,0.1983,0.2069,0.1810,0.0431,0.0000,0.0961,0.0000,0.1904,0.1245,0.0961,0.0605,0.2100,0.2224
0.1638,0.1983,0.0000,0.1983,0.2069,0.1896,0.0431,0.0000,0.0959,0.0000,0.1918,0.1244,0.0959,0.0604,0.2096,0.2220
