# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d
0.0755,0.1276,0.1094,0.1484,0.1198,0.1615,0.1380,0.1198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1507,0.1575,0.0480,0.2260,0.1712,0.1712,0.0617,0.0137,0.0000,0.0000,0.3463,0.0439,0.0000,0.0000,0.2195,0.3903
0.1769,0.1231,0.0615,0.1462,0.1769,0.2000,0.0539,0.0615,0.0423,0.0000,0.2638,0.1433,0.0261,0.0098,0.2378,0.2769
0.1539,0.1442,0.0288,0.1635,0.1827,0.2019,0.0962,0.0288,0.0729,0.0000,0.2448,0.1771,0.0391,0.0208,0.1979,0.2474
0.1589,0.1776,0.0467,0.1589,0.1776,0.1682,0.0654,0.0467,0.0841,0.0000,0.2250,0.1818,0.0636,0.0273,0.1932,0.2250
0.1505,0.1770,0.0354,0.1416,0.2212,0.2035,0.0531,0.0177,0.0935,0.0000,0.2204,0.1809,0.0665,0.0312,0.1871,0.2204
0.1414,0.2223,0.0303,0.1414,0.1919,0.2020,0.0505,0.0202,0.0992,0.0000,0.2160,0.1809,0.0700,0.0331,0.1887,0.2121
0.1134,0.2681,0.0000,0.1546,0.1959,0.2165,0.0309,0.0206,0.1006,0.0000,0.2141,0.1843,0.0745,0.0354,0.1844,0.2067
0.1200,0.2600,0.0100,0.1500,0.1900,0.2200,0.0400,0.0100,0.1042,0.0000,0.2102,0.1828,0.0768,0.0384,0.1810,0.2066
0.0957,0.2660,0.0319,0.1702,0.1596,0.2234,0.0532,0.0000,0.1025,0.0000,0.2086,0.1817,0.0827,0.0414,0.1781,0.2050
0.0805,0.2873,0.0345,0.1839,0.1609,0.2299,0.0230,0.0000,0.1044,0.0000,0.2106,0.1788,0.0832,0.0407,0.1805,0.2018
0.0824,0.3176,0.0000,0.1765,0.1647,0.2235,0.0235,0.0118,0.1030,0.0000,0.2129,0.1780,0.0838,0.0419,0.1797,0.2007
0.0824,0.3294,0.0000,0.1647,0.1882,0.2118,0.0235,0.0000,0.1021,0.0000,0.2111,0.1799,0.0848,0.0432,0.1782,0.2007
0.0787,0.2921,0.0112,0.1686,0.1798,0.2247,0.0337,0.0112,0.1012,0.0000,0.2092,0.1818,0.0892,0.0429,0.1767,0.1990
0.0919,0.2874,0.0115,0.1724,0.1724,0.2299,0.0230,0.0115,0.1005,0.0000,0.2095,0.1806,0.0903,0.0426,0.1772,0.1993
0.0919,0.2644,0.0000,0.1954,0.1724,0.2529,0.0230,0.0000,0.1000,0.0000,0.2102,0.1796,0.0898,0.0441,0.1763,0.2000
