# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d
0.1250,0.1250,0.1276,0.1302,0.1484,0.1198,0.1198,0.1042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1304,0.1739,0.0507,0.2029,0.1594,0.1449,0.1160,0.0218,0.0053,0.0000,0.4149,0.0638,0.0000,0.0053,0.1756,0.3351
0.1190,0.1905,0.0556,0.1905,0.1667,0.1190,0.0635,0.0952,0.0608,0.0000,0.3007,0.1419,0.0338,0.0236,0.2027,0.2365
0.0957,0.1565,0.0783,0.1826,0.1826,0.1478,0.1304,0.0261,0.1016,0.0000,0.2647,0.1471,0.0481,0.0267,0.1818,0.2300
0.1405,0.2066,0.0331,0.1405,0.1653,0.1735,0.0992,0.0413,0.1219,0.0000,0.2528,0.1467,0.0519,0.0452,0.1670,0.2145
0.1402,0.2056,0.0280,0.1776,0.1682,0.1869,0.0561,0.0374,0.1285,0.0000,0.2370,0.1466,0.0643,0.0602,0.1586,0.2048
0.1714,0.2000,0.0286,0.1619,0.1810,0.1714,0.0571,0.0286,0.1292,0.0000,0.2322,0.1461,0.0749,0.0637,0.1498,0.2041
0.2291,0.1667,0.0000,0.1875,0.1771,0.1771,0.0521,0.0104,0.1343,0.0000,0.2262,0.1466,0.0795,0.0636,0.1519,0.1979
0.2062,0.1753,0.0103,0.1856,0.1649,0.1753,0.0515,0.0309,0.1342,0.0000,0.2220,0.1515,0.0792,0.0671,0.1515,0.1945
0.2234,0.1915,0.0000,0.1915,0.1702,0.1596,0.0638,0.0000,0.1329,0.0000,0.2215,0.1499,0.0784,0.0681,0.1499,0.1993
0.2021,0.1809,0.0000,0.2021,0.1702,0.1702,0.0745,0.0000,0.1339,0.0000,0.2203,0.1508,0.0797,0.0678,0.1492,0.1983
