# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d
0.1302,0.1406,0.1432,0.1068,0.1068,0.1250,0.1042,0.1432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1233,0.2055,0.0479,0.1301,0.1644,0.1781,0.1164,0.0343,0.0042,0.0000,0.3950,0.0462,0.0000,0.0000,0.1933,0.3613
0.1111,0.1984,0.0556,0.1270,0.1349,0.1905,0.0873,0.0952,0.0586,0.0000,0.3050,0.1320,0.0147,0.0147,0.1994,0.2756
0.1545,0.2182,0.0364,0.1909,0.1000,0.1455,0.0909,0.0636,0.0711,0.0000,0.2725,0.1303,0.0379,0.0308,0.1943,0.2631
0.1193,0.2110,0.0459,0.1927,0.1284,0.2018,0.0642,0.0367,0.0816,0.0000,0.2552,0.1381,0.0502,0.0293,0.1883,0.2573
0.1698,0.1793,0.0377,0.1981,0.1698,0.1981,0.0283,0.0189,0.0996,0.0000,0.2471,0.1360,0.0556,0.0287,0.1878,0.2452
0.1470,0.2157,0.0098,0.1863,0.1569,0.2059,0.0588,0.0196,0.1013,0.0000,0.2405,0.1410,0.0579,0.0380,0.1826,0.2387
0.1651,0.2330,0.0097,0.1553,0.1359,0.2427,0.0486,0.0097,0.1047,0.0000,0.2338,0.1414,0.0593,0.0419,0.1850,0.2339
0.1863,0.2157,0.0294,0.1470,0.1471,0.2353,0.0392,0.0000,0.1054,0.0000,0.2296,0.1463,0.0612,0.0442,0.1837,0.2296
0.2000,0.2000,0.0000,0.1444,0.1556,0.2444,0.0556,0.0000,0.1032,0.0000,0.2313,0.1481,0.0665,0.0449,0.1814,0.2246
0.2022,0.1798,0.0000,0.1461,0.1685,0.2472,0.0562,0.0000,0.1091,0.0000,0.2296,0.1449,0.0668,0.0489,0.1808,0.2199
0.1939,0.1837,0.0102,0.1428,0.1531,0.2347,0.0714,0.0102,0.1075,0.0000,0.2279,0.1445,0.0722,0.0514,0.1798,0.2167
0.2065,0.1848,0.0000,0.1413,0.1413,0.2609,0.0652,0.0000,0.1078,0.0000,0.2266,0.1442,0.0745,0.0523,0.1791,0.2155
0.2111,0.1889,0.0111,0.1445,0.1333,0.2444,0.0667,0.0000,0.1102,0.0000,0.2252,0.1449,0.0740,0.0535,0.1780,0.2142
0.2088,0.1868,0.0000,0.1538,0.1319,0.2418,0.0659,0.0110,0.1101,0.0000,0.2264,0.1446,0.0739,0.0535,0.1777,0.2138
0.2088,0.1868,0.0000,0.1648,0.1319,0.2418,0.0659,0.0000,0.1099,0.0000,0.2260,0.1444,0.0738,0.0534,0.1774,0.2151
0.2135,0.1798,0.0000,0.1685,0.1348,0.2360,0.0674,0.0000,0.1095,0.0000,0.2254,0.1440,0.0736,0.0563,0.1768,0.2144
