# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Sd_mean,Sd_std
0.175311,0.185664,0.078610,0.146695,0.031884,0.141206,0.080484,0.160147,0.678769,0.029668
0.056067,0.233041,0.020582,0.240779,0.120559,0.040051,0.087056,0.201865,0.752754,0.022896
0.136233,0.071207,0.072886,0.211599,0.197739,0.019514,0.248030,0.042793,0.514973,0.067053
0.067164,0.003882,0.141343,0.237574,0.259576,0.129353,0.028687,0.132423,0.790794,0.023129
0.085606,0.091188,0.071607,0.281080,0.117128,0.001053,0.145968,0.206368,0.589501,0.046579
0.212153,0.196050,0.182720,0.051549,0.091106,0.119566,0.035641,0.111214,0.631678,0.025851
0.028694,0.024670,0.236414,0.047766,0.133694,0.176681,0.265474,0.086607,0.554202,0.043656
0.064161,0.310111,0.107543,0.098356,0.053182,0.157525,0.081998,0.127124,0.764856,0.018827
0.084640,0.158522,0.113066,0.171981,0.076321,0.081782,0.253244,0.060445,0.601060,0.029038
0.230561,0.211437,0.195798,0.036740,0.001684,0.225330,0.025094,0.073357,0.704681,0.031482
0.173988,0.169923,0.162045,0.102586,0.080244,0.081317,0.059754,0.170141,0.565063,0.032402
0.179928,0.218725,0.066346,0.127860,0.150400,0.084592,0.128815,0.043333,0.699560,0.026924
0.098709,0.042440,0.202148,0.105085,0.133607,0.119685,0.016589,0.281738,0.513680,0.032974
0.168712,0.075148,0.208422,0.156687,0.229984,0.107426,0.025420,0.028201,0.600181,0.050038
0.204887,0.158851,0.059509,0.150301,0.145417,0.235437,0.014568,0.031030,0.838298,0.024156
0.120711,0.038023,0.269661,0.054070,0.168994,0.120999,0.213187,0.014354,0.349987,0.077641
0.088941,0.128800,0.031156,0.175795,0.146468,0.226690,0.121263,0.080887,0.849108,0.017890
0.083857,0.062556,0.247672,0.212028,0.091175,0.119414,0.026841,0.156458,0.581510,0.038222
0.179677,0.056191,0.108958,0.166351,0.109113,0.135711,0.048031,0.195969,0.614404,0.056010
0.035193,0.151132,0.093468,0.033837,0.274688,0.064277,0.150667,0.196738,0.645694,0.038035
0.071717,0.127591,0.141105,0.118321,0.096600,0.068102,0.241042,0.135522,0.516809,0.038215
0.144428,0.109970,0.058909,0.098568,0.169526,0.180395,0.193739,0.044464,0.749522,0.028179
0.089670,0.030897,0.256701,0.163907,0.183093,0.111885,0.063263,0.100584,0.567184,0.042235
0.070878,0.130714,0.200395,0.204216,0.070272,0.043599,0.177539,0.102387,0.481355,0.038917
0.098097,0.325827,0.060672,0.051497,0.006497,0.111649,0.258252,0.087508,0.714507,0.021843
0.016877,0.121012,0.221905,0.002826,0.056039,0.221457,0.155834,0.204050,0.607060,0.035258
0.181984,0.043779,0.148006,0.052238,0.187812,0.191558,0.032064,0.162560,0.639462,0.046639
0.011978,0.152338,0.122483,0.152384,0.193134,0.221118,0.127844,0.018721,0.833049,0.023904
0.198530,0.013206,0.172612,0.026341,0.196112,0.137842,0.067391,0.187967,0.358624,0.103768
0.049202,0.058797,0.088888,0.112875,0.059644,0.250855,0.120124,0.259614,0.723222,0.020122
0.052702,0.097506,0.166814,0.205881,0.093592,0.097809,0.195754,0.089942,0.614042,0.040434
0.093294,0.201893,0.105249,0.026738,0.199417,0.106221,0.076404,0.190783,0.687510,0.031008
0.004620,0.255427,0.023587,0.020351,0.253980,0.128833,0.048439,0.264764,0.789656,0.018555
0.063685,0.178838,0.087295,0.069901,0.108924,0.172983,0.186199,0.132176,0.708766,0.025710
0.065569,0.153744,0.164554,0.096655,0.126676,0.155151,0.121857,0.115795,0.675278,0.027319
0.122990,0.193962,0.078560,0.038727,0.083519,0.144157,0.111311,0.226773,0.671994,0.031692
0.117068,0.154507,0.089013,0.027245,0.219366,0.068586,0.142442,0.181773,0.602741,0.047276
