# Pd,Pt,Ru
0.328,0.324,0.348
0.350,0.524,0.126
0.357,0.571,0.071
0.378,0.622,0.000
0.406,0.583,0.010
0.404,0.596,0.000
0.409,0.591,0.000
0.409,0.591,0.000
