# Pd_i,Pt_i,Ru_i,Pd_f,Pt_f,Ru_f,Pd_d,Pt_d,Ru_d,fd
0.321,0.324,0.355,0.516,0.473,0.011,0.070,0.010,0.920,0.314
0.365,0.311,0.324,0.566,0.434,0.000,0.090,0.020,0.890,0.334
0.334,0.358,0.307,0.495,0.505,0.000,0.100,0.000,0.900,0.341
0.361,0.307,0.331,0.494,0.506,0.000,0.100,0.000,0.900,0.274
0.392,0.291,0.318,0.586,0.414,0.000,0.060,0.020,0.920,0.294
0.348,0.355,0.297,0.451,0.539,0.010,0.100,0.010,0.890,0.345
0.338,0.301,0.361,0.494,0.506,0.000,0.100,0.010,0.890,0.287
0.311,0.368,0.321,0.471,0.529,0.000,0.160,0.020,0.820,0.345
0.334,0.324,0.341,0.451,0.549,0.000,0.100,0.010,0.890,0.307
0.334,0.351,0.314,0.463,0.528,0.009,0.090,0.010,0.900,0.365
0.328,0.314,0.358,0.510,0.479,0.010,0.050,0.010,0.940,0.324
0.351,0.334,0.314,0.511,0.489,0.000,0.090,0.010,0.900,0.304
0.321,0.338,0.341,0.468,0.532,0.000,0.110,0.020,0.870,0.368
0.372,0.307,0.321,0.516,0.484,0.000,0.060,0.010,0.930,0.307
0.358,0.264,0.378,0.640,0.360,0.000,0.120,0.010,0.870,0.375
0.341,0.382,0.277,0.472,0.528,0.000,0.100,0.020,0.880,0.365
0.297,0.324,0.378,0.390,0.610,0.000,0.070,0.000,0.930,0.277
0.334,0.368,0.297,0.467,0.533,0.000,0.130,0.020,0.850,0.355
0.338,0.355,0.307,0.465,0.525,0.010,0.060,0.010,0.930,0.341
0.318,0.341,0.341,0.434,0.554,0.012,0.050,0.000,0.950,0.280
0.291,0.399,0.311,0.426,0.574,0.000,0.070,0.020,0.910,0.365
0.321,0.348,0.331,0.484,0.505,0.011,0.050,0.010,0.940,0.321
