# Au_i,Pd_i,Pt_i,Ru_i,Au_f,Pd_f,Pt_f,Ru_f,Au_d,Pd_d,Pt_d,Ru_d,fd
0.020,0.334,0.311,0.334,0.042,0.500,0.458,0.000,0.000,0.050,0.000,0.950,0.399
0.014,0.341,0.358,0.287,0.048,0.484,0.468,0.000,0.000,0.060,0.000,0.940,0.419
0.017,0.341,0.314,0.328,0.042,0.487,0.471,0.000,0.000,0.050,0.000,0.950,0.402
0.010,0.341,0.385,0.264,0.030,0.447,0.523,0.000,0.000,0.080,0.000,0.920,0.446
0.010,0.392,0.324,0.274,0.023,0.557,0.420,0.000,0.000,0.050,0.010,0.940,0.443
0.003,0.328,0.331,0.338,0.009,0.491,0.500,0.000,0.000,0.070,0.000,0.930,0.365
0.017,0.345,0.331,0.307,0.048,0.411,0.540,0.000,0.000,0.090,0.000,0.910,0.419
0.044,0.341,0.314,0.301,0.105,0.411,0.484,0.000,0.000,0.150,0.010,0.840,0.419
0.003,0.355,0.331,0.311,0.008,0.525,0.467,0.000,0.000,0.070,0.000,0.930,0.412
0.007,0.338,0.368,0.287,0.049,0.422,0.520,0.010,0.000,0.070,0.000,0.930,0.345
0.037,0.318,0.368,0.277,0.050,0.462,0.487,0.000,0.000,0.100,0.000,0.900,0.402
0.061,0.365,0.301,0.274,0.107,0.496,0.397,0.000,0.000,0.040,0.000,0.960,0.443
0.041,0.318,0.291,0.351,0.078,0.411,0.511,0.000,0.000,0.050,0.000,0.950,0.304
0.000,0.297,0.358,0.345,0.009,0.443,0.530,0.017,0.000,0.040,0.010,0.950,0.389
0.027,0.361,0.345,0.267,0.062,0.504,0.434,0.000,0.000,0.070,0.000,0.930,0.436
0.034,0.372,0.338,0.257,0.068,0.458,0.466,0.008,0.000,0.080,0.000,0.920,0.399
0.014,0.351,0.351,0.284,0.051,0.470,0.479,0.000,0.000,0.020,0.000,0.980,0.395
0.030,0.355,0.328,0.287,0.084,0.504,0.412,0.000,0.000,0.050,0.010,0.940,0.402
0.024,0.368,0.318,0.291,0.040,0.508,0.452,0.000,0.000,0.050,0.000,0.950,0.419
0.037,0.334,0.311,0.318,0.065,0.516,0.411,0.008,0.000,0.100,0.000,0.900,0.419
0.034,0.348,0.341,0.277,0.080,0.413,0.500,0.007,0.000,0.030,0.000,0.970,0.466
0.024,0.365,0.301,0.311,0.044,0.496,0.451,0.009,0.000,0.120,0.000,0.880,0.382
0.014,0.318,0.314,0.355,0.038,0.519,0.443,0.000,0.000,0.090,0.000,0.910,0.358
0.010,0.358,0.314,0.318,0.009,0.509,0.482,0.000,0.000,0.120,0.000,0.880,0.378
0.030,0.368,0.334,0.267,0.059,0.548,0.393,0.000,0.000,0.070,0.000,0.930,0.456
0.017,0.311,0.324,0.348,0.041,0.443,0.505,0.010,0.000,0.070,0.010,0.920,0.328
0.003,0.361,0.324,0.311,0.008,0.520,0.472,0.000,0.000,0.040,0.000,0.960,0.416
0.020,0.314,0.318,0.348,0.053,0.516,0.432,0.000,0.000,0.070,0.000,0.930,0.321
0.020,0.294,0.389,0.297,0.051,0.492,0.449,0.008,0.000,0.080,0.000,0.920,0.399
0.020,0.314,0.331,0.334,0.059,0.455,0.485,0.000,0.000,0.040,0.000,0.960,0.341
0.007,0.382,0.314,0.297,0.041,0.545,0.413,0.000,0.000,0.110,0.010,0.880,0.409
0.034,0.338,0.361,0.267,0.050,0.471,0.479,0.000,0.000,0.060,0.020,0.920,0.402
0.020,0.314,0.331,0.334,0.030,0.459,0.496,0.015,0.000,0.130,0.000,0.870,0.456
0.027,0.372,0.304,0.297,0.063,0.516,0.421,0.000,0.000,0.090,0.030,0.880,0.321
0.017,0.338,0.348,0.297,0.025,0.434,0.541,0.000,0.000,0.090,0.000,0.910,0.412
0.037,0.324,0.345,0.294,0.088,0.474,0.438,0.000,0.000,0.080,0.000,0.920,0.463
0.014,0.260,0.378,0.348,0.025,0.331,0.645,0.000,0.000,0.050,0.010,0.940,0.409
0.030,0.307,0.351,0.311,0.061,0.383,0.548,0.009,0.000,0.060,0.000,0.940,0.389
0.057,0.331,0.372,0.240,0.075,0.442,0.483,0.000,0.000,0.010,0.000,0.990,0.497
0.010,0.297,0.365,0.328,0.024,0.398,0.577,0.000,0.000,0.080,0.000,0.920,0.416
