# Ir,Pd,Pt,Rh,Ru
0.186,0.216,0.166,0.216,0.216
0.288,0.192,0.185,0.253,0.082
0.241,0.241,0.232,0.232,0.054
0.231,0.259,0.231,0.213,0.065
0.219,0.295,0.219,0.210,0.057
0.200,0.320,0.230,0.190,0.060
0.200,0.337,0.221,0.189,0.053
0.232,0.316,0.232,0.179,0.042
0.202,0.330,0.223,0.202,0.043
0.202,0.330,0.223,0.213,0.032
0.202,0.330,0.223,0.213,0.032
