# Ir,Pd,Pt,Rh,Ru
0.230,0.179,0.209,0.203,0.179
0.283,0.189,0.211,0.211,0.106
0.290,0.194,0.200,0.232,0.084
0.336,0.182,0.175,0.238,0.070
0.336,0.186,0.186,0.236,0.057
0.324,0.189,0.176,0.236,0.074
0.315,0.212,0.171,0.226,0.075
0.314,0.214,0.171,0.229,0.071
0.319,0.207,0.178,0.237,0.059
0.326,0.200,0.178,0.237,0.059
0.326,0.200,0.178,0.237,0.059
