# Ir,Pd,Pt,Rh,Ru
0.226,0.166,0.213,0.196,0.199
0.252,0.190,0.227,0.233,0.098
0.278,0.203,0.218,0.226,0.075
0.288,0.230,0.165,0.209,0.108
0.258,0.234,0.218,0.202,0.089
0.243,0.243,0.207,0.207,0.099
0.248,0.238,0.210,0.229,0.076
0.250,0.230,0.190,0.240,0.090
0.237,0.258,0.206,0.227,0.072
0.266,0.245,0.202,0.223,0.064
0.258,0.247,0.204,0.215,0.075
0.269,0.247,0.194,0.215,0.075
0.267,0.244,0.200,0.222,0.067
0.270,0.236,0.202,0.225,0.067
0.270,0.236,0.202,0.225,0.067
