# Ir,Pd,Pt,Rh,Ru
0.189,0.193,0.223,0.206,0.189
0.224,0.171,0.271,0.247,0.088
0.246,0.181,0.261,0.246,0.065
0.241,0.195,0.248,0.263,0.053
0.233,0.178,0.240,0.295,0.054
0.256,0.182,0.240,0.281,0.041
0.265,0.171,0.239,0.291,0.034
0.250,0.179,0.250,0.286,0.036
0.243,0.180,0.252,0.288,0.036
0.243,0.180,0.252,0.288,0.036
