# Ir,Pd,Pt,Rh,Ru
0.260,0.186,0.203,0.189,0.162
0.271,0.201,0.216,0.206,0.106
0.300,0.200,0.231,0.188,0.081
0.326,0.196,0.225,0.181,0.072
0.311,0.205,0.213,0.180,0.090
0.281,0.175,0.228,0.228,0.088
0.270,0.198,0.225,0.225,0.081
0.273,0.191,0.236,0.227,0.073
0.278,0.194,0.231,0.241,0.056
0.282,0.191,0.227,0.227,0.073
0.282,0.209,0.227,0.227,0.055
0.275,0.220,0.229,0.211,0.064
0.269,0.222,0.231,0.222,0.056
0.279,0.212,0.240,0.221,0.048
0.279,0.221,0.231,0.221,0.048
0.282,0.214,0.233,0.223,0.049
0.284,0.206,0.235,0.225,0.049
0.284,0.216,0.235,0.216,0.049
0.294,0.216,0.225,0.216,0.049
0.284,0.216,0.235,0.216,0.049
0.284,0.216,0.235,0.216,0.049
