# Ir,Pd,Pt,Rh,Ru
0.196,0.223,0.193,0.193,0.196
0.291,0.247,0.222,0.184,0.057
0.290,0.255,0.214,0.179,0.062
0.313,0.221,0.221,0.206,0.038
0.317,0.206,0.246,0.206,0.024
0.307,0.197,0.260,0.213,0.024
0.308,0.200,0.254,0.208,0.031
0.308,0.208,0.246,0.215,0.023
0.307,0.205,0.252,0.213,0.024
0.307,0.197,0.260,0.213,0.024
0.296,0.200,0.264,0.216,0.024
0.296,0.200,0.264,0.216,0.024
0.296,0.200,0.256,0.216,0.032
0.291,0.205,0.252,0.220,0.031
0.285,0.208,0.254,0.215,0.038
0.291,0.213,0.252,0.213,0.031
0.301,0.203,0.260,0.203,0.033
0.309,0.203,0.260,0.203,0.024
0.311,0.205,0.254,0.205,0.025
0.315,0.202,0.250,0.202,0.032
0.314,0.198,0.248,0.207,0.033
0.308,0.200,0.250,0.208,0.033
0.308,0.200,0.250,0.208,0.033
