# Ir,Pd,Pt,Rh,Ru
0.203,0.233,0.182,0.220,0.162
0.267,0.240,0.147,0.280,0.067
0.287,0.264,0.132,0.248,0.070
0.257,0.279,0.150,0.229,0.086
0.271,0.271,0.165,0.218,0.075
0.254,0.254,0.203,0.212,0.076
0.239,0.248,0.211,0.229,0.073
0.250,0.250,0.214,0.223,0.062
0.248,0.257,0.210,0.229,0.057
0.257,0.257,0.219,0.210,0.057
0.260,0.260,0.212,0.212,0.058
0.262,0.262,0.214,0.204,0.058
0.262,0.272,0.214,0.194,0.058
0.257,0.277,0.208,0.198,0.059
0.257,0.277,0.208,0.198,0.059
