# Ir,Pd,Pt,Rh,Ru
0.189,0.230,0.220,0.172,0.189
0.219,0.267,0.219,0.199,0.096
0.191,0.257,0.257,0.221,0.074
0.195,0.276,0.260,0.236,0.033
0.194,0.279,0.233,0.264,0.031
0.174,0.264,0.248,0.281,0.033
0.186,0.263,0.254,0.280,0.017
0.183,0.258,0.258,0.283,0.017
0.178,0.263,0.263,0.288,0.008
0.171,0.265,0.256,0.291,0.017
0.174,0.270,0.252,0.296,0.009
0.171,0.274,0.248,0.299,0.009
0.171,0.274,0.248,0.299,0.009
