# Ir,Pd,Pt,Rh,Ru
0.226,0.193,0.209,0.169,0.203
0.290,0.214,0.228,0.234,0.034
0.269,0.223,0.208,0.231,0.069
0.286,0.241,0.205,0.223,0.045
0.287,0.231,0.231,0.213,0.037
0.294,0.186,0.265,0.176,0.078
0.282,0.209,0.264,0.191,0.055
0.279,0.212,0.288,0.173,0.048
0.280,0.190,0.280,0.180,0.070
0.295,0.200,0.274,0.168,0.063
0.292,0.202,0.270,0.202,0.034
0.311,0.200,0.256,0.200,0.033
0.311,0.200,0.256,0.200,0.033
