# Ir,Pd,Pt,Rh,Ru
0.186,0.186,0.209,0.189,0.230
0.228,0.191,0.243,0.235,0.103
0.242,0.211,0.219,0.258,0.070
0.252,0.229,0.183,0.267,0.069
0.243,0.228,0.169,0.294,0.066
0.248,0.207,0.174,0.306,0.066
0.258,0.227,0.180,0.281,0.055
0.248,0.233,0.165,0.301,0.053
0.254,0.231,0.200,0.285,0.031
0.242,0.234,0.177,0.298,0.048
0.242,0.218,0.210,0.298,0.032
0.250,0.218,0.210,0.290,0.032
0.250,0.218,0.210,0.290,0.032
