# Ir,Pd,Pt,Rh,Ru
0.247,0.230,0.186,0.186,0.152
0.250,0.265,0.214,0.199,0.071
0.317,0.234,0.192,0.210,0.048
0.300,0.227,0.187,0.227,0.060
0.297,0.232,0.187,0.232,0.052
0.288,0.242,0.190,0.235,0.046
0.295,0.235,0.195,0.235,0.040
0.295,0.235,0.195,0.235,0.040
0.290,0.234,0.193,0.241,0.041
0.294,0.238,0.196,0.238,0.035
0.298,0.241,0.199,0.227,0.035
0.296,0.246,0.190,0.232,0.035
0.296,0.246,0.190,0.232,0.035
