# Ir,Pd,Pt,Rh,Ru
0.206,0.196,0.236,0.145,0.216
0.262,0.202,0.268,0.155,0.113
0.283,0.225,0.268,0.130,0.094
0.289,0.180,0.273,0.164,0.094
0.273,0.174,0.256,0.223,0.074
0.269,0.168,0.252,0.235,0.076
0.269,0.168,0.252,0.235,0.076
