# Ir,Pd,Pt,Rh,Ru
0.223,0.186,0.189,0.216,0.186
0.285,0.254,0.177,0.223,0.062
0.266,0.257,0.119,0.275,0.083
0.267,0.317,0.109,0.267,0.040
0.292,0.292,0.083,0.302,0.031
0.296,0.276,0.082,0.306,0.041
0.304,0.265,0.108,0.284,0.039
0.307,0.267,0.109,0.287,0.030
0.301,0.262,0.117,0.291,0.029
0.294,0.255,0.127,0.294,0.029
0.294,0.255,0.127,0.294,0.029
