# Ir,Pd,Pt,Rh,Ru
0.166,0.186,0.166,0.233,0.250
0.185,0.202,0.185,0.333,0.095
0.190,0.206,0.214,0.302,0.087
0.236,0.191,0.236,0.264,0.073
0.225,0.265,0.235,0.235,0.039
0.196,0.235,0.255,0.225,0.088
0.182,0.273,0.273,0.242,0.030
0.194,0.258,0.290,0.204,0.054
0.207,0.280,0.256,0.207,0.049
0.188,0.300,0.250,0.212,0.050
0.195,0.312,0.260,0.195,0.039
0.215,0.304,0.241,0.203,0.038
0.221,0.286,0.234,0.208,0.052
0.221,0.286,0.234,0.208,0.052
