# Ir,Pd,Pt,Rh,Ru
0.182,0.203,0.193,0.196,0.226
0.169,0.221,0.227,0.253,0.130
0.161,0.234,0.263,0.234,0.109
0.179,0.197,0.256,0.222,0.145
0.194,0.155,0.243,0.252,0.155
0.183,0.183,0.221,0.288,0.125
0.212,0.154,0.221,0.298,0.115
0.208,0.168,0.228,0.277,0.119
0.222,0.182,0.242,0.273,0.081
0.212,0.202,0.242,0.253,0.091
0.198,0.220,0.242,0.275,0.066
0.211,0.222,0.222,0.267,0.078
0.216,0.227,0.216,0.273,0.068
0.213,0.225,0.213,0.281,0.067
0.213,0.225,0.213,0.281,0.067
