# Ir,Pd,Pt,Rh,Ru
0.206,0.213,0.203,0.169,0.209
0.232,0.226,0.238,0.213,0.091
0.219,0.255,0.241,0.197,0.088
0.261,0.313,0.209,0.174,0.043
0.286,0.241,0.214,0.196,0.062
0.284,0.245,0.216,0.196,0.059
0.293,0.263,0.222,0.182,0.040
0.296,0.265,0.204,0.204,0.031
0.306,0.265,0.204,0.194,0.031
0.306,0.265,0.204,0.194,0.031
