# Ir,Pd,Pt,Rh,Ru
0.199,0.209,0.179,0.189,0.223
0.222,0.181,0.211,0.234,0.152
0.209,0.216,0.203,0.255,0.118
0.235,0.182,0.197,0.258,0.129
0.261,0.193,0.193,0.269,0.084
0.252,0.183,0.191,0.270,0.104
0.233,0.194,0.194,0.301,0.078
0.243,0.194,0.184,0.301,0.078
0.245,0.196,0.186,0.304,0.069
0.250,0.200,0.190,0.290,0.070
0.260,0.200,0.190,0.290,0.060
0.245,0.204,0.194,0.296,0.061
0.255,0.184,0.204,0.306,0.051
0.255,0.184,0.214,0.306,0.041
0.255,0.184,0.214,0.306,0.041
0.253,0.189,0.221,0.295,0.042
0.253,0.189,0.221,0.295,0.042
