# Ir,Pd,Pt,Rh,Ru
0.196,0.226,0.176,0.196,0.206
0.253,0.230,0.191,0.191,0.135
0.234,0.253,0.188,0.227,0.097
0.253,0.247,0.178,0.212,0.110
0.236,0.250,0.186,0.229,0.100
0.227,0.255,0.199,0.227,0.092
0.226,0.270,0.182,0.234,0.088
0.225,0.279,0.171,0.240,0.085
0.227,0.265,0.174,0.242,0.091
0.238,0.277,0.177,0.223,0.085
0.244,0.268,0.181,0.228,0.079
0.244,0.268,0.181,0.236,0.071
0.246,0.270,0.183,0.230,0.071
0.246,0.270,0.183,0.230,0.071
