# Ir,Pd,Pt,Rh,Ru
0.226,0.172,0.220,0.196,0.186
0.255,0.207,0.241,0.228,0.069
0.287,0.186,0.217,0.256,0.054
0.283,0.165,0.213,0.268,0.071
0.283,0.165,0.228,0.252,0.071
0.281,0.184,0.228,0.254,0.053
0.282,0.179,0.239,0.248,0.051
0.289,0.193,0.237,0.246,0.035
0.312,0.188,0.241,0.223,0.036
0.319,0.186,0.239,0.221,0.035
0.315,0.189,0.234,0.225,0.036
0.315,0.189,0.234,0.225,0.036
