# Ir,Pd,Pt,Rh,Ru
0.213,0.189,0.203,0.193,0.203
0.273,0.215,0.215,0.198,0.099
0.236,0.193,0.214,0.243,0.114
0.213,0.191,0.250,0.257,0.088
0.228,0.157,0.252,0.268,0.094
0.248,0.160,0.240,0.272,0.080
0.236,0.173,0.244,0.252,0.094
0.234,0.194,0.250,0.250,0.073
0.240,0.198,0.256,0.240,0.066
0.225,0.192,0.275,0.242,0.067
0.217,0.192,0.283,0.242,0.067
0.217,0.192,0.283,0.242,0.067
