# Ir,Pd,Pt,Rh,Ru
0.203,0.166,0.209,0.220,0.203
0.237,0.219,0.194,0.263,0.087
0.248,0.218,0.233,0.203,0.098
0.248,0.232,0.224,0.256,0.040
0.252,0.252,0.218,0.244,0.034
0.254,0.246,0.202,0.254,0.044
0.243,0.252,0.209,0.261,0.035
0.239,0.222,0.214,0.274,0.051
0.246,0.228,0.219,0.272,0.035
0.248,0.212,0.230,0.274,0.035
0.243,0.216,0.225,0.279,0.036
0.241,0.214,0.232,0.277,0.036
0.241,0.214,0.232,0.277,0.036
