# Ir,Pd,Pt,Rh,Ru
0.159,0.209,0.186,0.243,0.203
0.175,0.252,0.203,0.294,0.077
0.205,0.259,0.223,0.196,0.116
0.228,0.272,0.239,0.196,0.065
0.208,0.287,0.238,0.188,0.079
0.252,0.355,0.168,0.187,0.037
0.224,0.336,0.187,0.196,0.056
0.240,0.340,0.170,0.200,0.050
0.247,0.351,0.186,0.196,0.021
0.240,0.340,0.200,0.190,0.030
0.238,0.347,0.188,0.198,0.030
0.240,0.350,0.190,0.200,0.020
0.240,0.350,0.190,0.200,0.020
