# Ir,Pd,Pt,Rh,Ru
0.193,0.196,0.182,0.179,0.250
0.226,0.218,0.248,0.195,0.113
0.230,0.222,0.262,0.214,0.071
0.213,0.205,0.254,0.246,0.082
0.230,0.204,0.265,0.248,0.053
0.252,0.214,0.262,0.252,0.019
0.243,0.187,0.252,0.280,0.037
0.264,0.179,0.255,0.274,0.028
0.262,0.184,0.243,0.262,0.049
0.253,0.212,0.242,0.253,0.040
0.253,0.192,0.253,0.253,0.051
0.270,0.200,0.240,0.250,0.040
0.263,0.189,0.263,0.263,0.021
0.245,0.191,0.266,0.266,0.032
0.242,0.200,0.274,0.263,0.021
0.242,0.200,0.274,0.263,0.021
0.242,0.200,0.274,0.263,0.021
0.242,0.200,0.274,0.263,0.021
