# Ir,Pd,Pt,Rh,Ru
0.206,0.209,0.189,0.189,0.206
0.305,0.180,0.195,0.203,0.117
0.304,0.157,0.226,0.209,0.104
0.252,0.187,0.215,0.206,0.140
0.233,0.204,0.214,0.223,0.126
0.227,0.237,0.206,0.227,0.103
0.198,0.240,0.240,0.219,0.104
0.220,0.231,0.242,0.209,0.099
0.220,0.231,0.242,0.220,0.088
0.220,0.231,0.253,0.209,0.088
0.213,0.236,0.247,0.213,0.090
0.213,0.236,0.247,0.213,0.090
