# Ir,Pd,Pt,Rh,Ru
0.213,0.182,0.213,0.172,0.220
0.232,0.226,0.239,0.206,0.097
0.218,0.227,0.227,0.261,0.067
0.221,0.265,0.239,0.212,0.062
0.224,0.259,0.233,0.198,0.086
0.219,0.267,0.257,0.200,0.057
0.215,0.271,0.262,0.215,0.037
0.217,0.283,0.264,0.208,0.028
0.217,0.292,0.264,0.198,0.028
0.204,0.291,0.282,0.204,0.019
0.206,0.304,0.265,0.206,0.020
0.206,0.304,0.265,0.206,0.020
