# Ir,Pd,Pt,Rh,Ru
0.152,0.230,0.189,0.226,0.203
0.188,0.210,0.222,0.261,0.119
0.199,0.243,0.199,0.250,0.110
0.200,0.216,0.240,0.240,0.104
0.213,0.197,0.246,0.238,0.107
0.214,0.214,0.232,0.241,0.098
0.209,0.218,0.227,0.245,0.100
0.204,0.230,0.212,0.265,0.088
0.209,0.236,0.218,0.245,0.091
0.202,0.239,0.220,0.248,0.092
0.193,0.248,0.220,0.248,0.092
0.182,0.255,0.227,0.255,0.082
0.182,0.255,0.227,0.255,0.082
0.182,0.255,0.227,0.255,0.082
