# Au,Pd,Pt,Ru
0.027,0.324,0.318,0.331
0.056,0.393,0.421,0.131
0.064,0.486,0.422,0.028
0.066,0.491,0.425,0.019
0.067,0.500,0.433,0.000
0.067,0.500,0.433,0.000
0.067,0.500,0.433,0.000
