# Au,Pd,Pt,Ru
0.061,0.365,0.301,0.274
0.109,0.474,0.372,0.044
0.107,0.496,0.397,0.000
0.106,0.500,0.386,0.008
0.106,0.500,0.394,0.000
0.107,0.496,0.397,0.000
0.107,0.496,0.397,0.000
0.107,0.496,0.397,0.000
