# Au,Pd,Pt,Ru
0.041,0.318,0.375,0.267
0.082,0.433,0.468,0.018
0.075,0.431,0.494,0.000
0.075,0.431,0.494,0.000
0.075,0.434,0.491,0.000
0.075,0.434,0.491,0.000
