# Au,Pd,Pt,Ru
0.030,0.355,0.328,0.287
0.067,0.513,0.387,0.034
0.073,0.508,0.395,0.024
0.085,0.500,0.407,0.008
0.084,0.504,0.412,0.000
0.084,0.504,0.412,0.000
