# Au,Pd,Pt,Ru
0.007,0.338,0.368,0.287
0.039,0.388,0.496,0.078
0.042,0.390,0.500,0.068
0.054,0.393,0.509,0.045
0.049,0.417,0.524,0.010
0.049,0.422,0.520,0.010
0.049,0.422,0.520,0.010
