# Au,Pd,Pt,Ru
0.030,0.311,0.358,0.301
0.090,0.444,0.436,0.030
0.096,0.448,0.440,0.016
0.104,0.424,0.464,0.008
0.107,0.434,0.459,0.000
0.107,0.434,0.459,0.000
