# Au,Pd,Pt,Ru
0.017,0.348,0.307,0.328
0.034,0.483,0.431,0.052
0.037,0.472,0.463,0.028
0.037,0.454,0.481,0.028
0.038,0.467,0.486,0.010
0.038,0.462,0.491,0.009
0.038,0.462,0.491,0.009
