# Au,Pd,Pt,Ru
0.014,0.318,0.314,0.355
0.040,0.444,0.411,0.105
0.035,0.456,0.439,0.070
0.045,0.505,0.441,0.009
0.046,0.495,0.440,0.018
0.038,0.519,0.443,0.000
0.038,0.519,0.443,0.000
