# Au,Pd,Pt,Ru
0.010,0.321,0.372,0.297
0.038,0.389,0.489,0.084
0.038,0.397,0.473,0.092
0.039,0.409,0.480,0.071
0.040,0.429,0.476,0.056
0.031,0.433,0.488,0.047
0.031,0.433,0.496,0.039
0.031,0.433,0.496,0.039
