# Au,Pd,Pt,Ru
0.020,0.314,0.321,0.345
0.048,0.385,0.442,0.125
0.047,0.372,0.465,0.116
0.050,0.412,0.512,0.025
0.051,0.423,0.526,0.000
0.051,0.423,0.526,0.000
