# Au,Pd,Pt,Ru
0.024,0.311,0.358,0.307
0.059,0.441,0.456,0.044
0.058,0.457,0.464,0.022
0.056,0.458,0.458,0.028
0.057,0.464,0.464,0.014
0.057,0.464,0.464,0.014
