# Au,Pd,Pt,Ru
0.037,0.348,0.321,0.294
0.062,0.517,0.400,0.021
0.063,0.507,0.408,0.021
0.060,0.493,0.440,0.007
0.059,0.489,0.444,0.007
0.061,0.492,0.447,0.000
0.061,0.492,0.447,0.000
