# Au,Pd,Pt,Ru
0.010,0.345,0.341,0.304
0.031,0.457,0.441,0.071
0.033,0.475,0.483,0.008
0.032,0.476,0.476,0.016
0.033,0.488,0.480,0.000
0.033,0.488,0.480,0.000
