# Au,Pd,Pt,Ru
0.051,0.355,0.328,0.267
0.063,0.424,0.456,0.057
0.069,0.462,0.428,0.041
0.068,0.445,0.452,0.034
0.069,0.451,0.458,0.021
0.069,0.451,0.458,0.021
0.069,0.451,0.458,0.021
