# Au,Pd,Pt,Ru
0.027,0.372,0.304,0.297
0.070,0.470,0.410,0.050
0.069,0.480,0.422,0.029
0.062,0.500,0.427,0.010
0.063,0.516,0.421,0.000
0.063,0.516,0.421,0.000
