# Au,Pd,Pt,Ru
0.030,0.324,0.348,0.297
0.062,0.491,0.402,0.045
0.052,0.513,0.409,0.026
0.053,0.491,0.439,0.018
0.054,0.491,0.446,0.009
0.055,0.491,0.455,0.000
0.054,0.491,0.455,0.000
0.054,0.495,0.450,0.000
0.054,0.495,0.450,0.000
