# Au,Pd,Pt,Ru
0.000,0.297,0.358,0.345
0.008,0.381,0.492,0.119
0.008,0.417,0.517,0.058
0.009,0.447,0.535,0.009
0.009,0.443,0.530,0.017
0.009,0.443,0.530,0.017
