# Au,Pd,Pt,Ru
0.017,0.321,0.348,0.314
0.037,0.532,0.385,0.046
0.037,0.523,0.404,0.037
0.038,0.538,0.415,0.009
0.039,0.544,0.417,0.000
0.029,0.549,0.422,0.000
0.029,0.549,0.422,0.000
0.029,0.549,0.422,0.000
